complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
85032877.0	청담동양파라곤아파트	2	2	92	2	2006.0	12.0	청담동	True	True
117785748.0	원에디션강남	3	2	250	2	2024.0	20.0		False	False
165196918.0	반포자이아파트	59	59	3410	44	2009.0	29.0		False	True
224707658.0	세곡리엔파크1단지	6	6	395	6	2011.0	13.0		True	True
228802387.0	한남더힐아파트	14	14	257	14	2011.0	17.0		True	True
306337650.0	서초롯데캐슬프레지던트	4	3	280	3	2014.0	31.0		False	False
306385386.0	삼풍아파트	24	24	2390	24	1988.0	15.0		True	True
306385430.0	서초진흥아파트	7	7	615	7	1979.0	15.0		True	True
306386648.0	서초교대e편한세상	6	6	435	6	2010.0	20.0		True	True
306386805.0	유원아파트	3	3	462	3	1993.0	18.0		True	True
306392308.0	래미안서초스위트아파트	1	1	144	1	2009.0	31.0		True	True
313652588.0	롯데캐슬프레미어아파트	11	11	713	11	2007.0	22.0	삼성동	True	True
327205928.0	아크로비스타	3	3	757	3	2004.0	37.0		True	True
333075749.0	반포리체아파트	9	9	1119	9	2010.0	35.0		True	True
356473838.0	상지리츠빌 5차 아파트	3	3	0	0		17.0	청담동	False	True
356473839.0	청담현대 3차 아파트	4	4	317	4	1999.0	24.0	청담동	True	True
356474586.0	건영아파트	2	2	240	2	1994.0	19.0	청담동	True	True
356474588.0	에테르노 청담	1	1	29	1	2023.0	20.0		True	True
356476357.0	청담대우멤버스카운티 아파트	6	0	0	0			청담동	False	False
356476358.0	청담대우멤버스카운티 아파트	3	0	0	0			청담동	False	False
356476360.0	청담CJ빌리지 아파트	2	0	0	0			청담동	False	False
356477882.0	씨티2차 아파트	2	2	37	2	1992.0	11.0	청담동	True	True
356479614.0	삼호 아파트	2	0	0	0			청담동	False	False
356479619.0	연세리버빌 아파트	2	2	32	2	1997.0	14.0	청담동	True	True
357034699.0	압구정한양7차아파트	2	2	239	2	1981.0	12.0	압구정동	True	True
357034700.0	압구정한양5차아파트	4	4	343	4	1979.0	13.0	압구정동	True	True
357824807.0	디에이치아너힐즈아파트	23	23	1320	23	2019.0	33.0	개포동	True	True
357824808.0	개포자이프레지던스아파트	35	35	0	0		35.0	개포동	False	True
359839868.0	양재리본타워2단지	3	3	390	3	2014.0	35.0		True	True
361603599.0	개포현대2차아파트	15	15	683	15	1986.0	9.0	개포동	True	True
362625954.0	개포현대1차아파트	6	6	416	6	1984.0	13.0	개포동	True	True
362626347.0	더샵 트리에	2	2	232	2	2021.0	16.0	개포동	True	True
362627806.0	개포우성3차아파트	5	5	405	5	1984.0	15.0	개포동	True	True
362627807.0	개포경남아파트	9	9	678	9	1984.0	15.0	개포동	True	True
370219321.0	개포우성6차아파트	8	8	270	8	1987.0	5.0	개포동	True	True
370329011.0	개포현대3차아파트	5	5	198	5	1986.0	9.0	개포동	True	True
370329012.0	개포우성8차아파트	3	3	261	3	1987.0	9.0	개포동	True	True
370389788.0	로덴하우스	2	2	52	2	2009.0	20.0	도곡동	True	True
370432226.0	개포주공5단지아파트	6	5	800	5	1983.0	14.0	개포동	False	False
370438757.0	개포우성4차아파트	8	8	459	8	1985.0	9.0	도곡동	True	True
370736551.0	서초네이처힐5단지아파트	8	8	509	8	2011.0	17.0		True	True
370736552.0	서초네이처힐4단지아파트	7	7	409	7	2011.0	15.0		True	True
370736554.0	서초네이처힐6단지아파트	7	7	382	7	2013.0	17.0		True	True
370736556.0	서초네이처힐3단지아파트	17	17	1251	17	2013.0	19.0		True	True
379417118.0	도곡우성아파트	2	2	390	2	1986.0	15.0	도곡동	True	True
379417121.0	도곡동 현대하이페리온아파트	2	2	71	2	2004.0	12.0	도곡동	True	True
379417123.0	서초그랑자이 아파트	9	9	1446	9	2021.0	35.0		True	True
379417127.0	래미안리더스원아파트	12	12	1317	12	2020.0	35.0		True	True
379530471.0	대치쌍용1차아파트	5	5	630	5	1983.0	15.0	대치동	True	True
379530472.0	대치쌍용2차아파트	4	4	364	4	1984.0	14.0	대치동	True	True
379530473.0	대치우성1차아파트	6	6	476	6	1984.0	14.0	대치동	True	True
379530474.0	한보은마아파트	28	28	4424	28	1979.0	14.0	대치동	True	True
379533783.0	서울개포상록스타힐스아파트	12	12	1703	12	2022.0	25.0	일원동	True	True
379533785.0	수서1단지아파트	21	20	2934	21	1992.0	15.0	일원동	True	False
381961841.0	중앙옥수하이츠아파트	4	4	264	4	1998.0	19.0		True	True
381961842.0	한남하이츠아파트	7	7	470	7	1982.0	14.0		True	True
382238719.0	LH강남아이파크7단지아파트	10	10	716	10	2014.0	15.0	자곡동	True	True
382238720.0	래미안 강남 힐즈	20	20	1020	20	2014.0	15.0	자곡동	True	True
382238722.0	강남세곡LH e편한세상아파트	12	12	809	12	2013.0	15.0		True	True
382238725.0	세곡푸르지오아파트	16	16	912	16	2012.0	15.0		True	True
382259609.0	신동아파밀리에아파트	7	7	407	7	2011.0	14.0		True	True
382259612.0	세곡리엔파트4단지	8	8	407	8	2011.0	13.0		True	True
382259614.0	강남데시앙파크5단지아파트	12	12	428	12	2011.0	12.0	세곡동	True	True
382259619.0	세곡리엔파크3단지	7	7	363	7	2011.0	14.0		True	True
392455561.0	개포래미안포레스트아파트	32	32	2334	32	2020.0	35.0	개포동	True	True
408473622.0	잠실우성1.2.3차아파트	26	26	1842	26	1981.0	15.0	잠실동	True	True
408473623.0	아시아선수촌아파트	12	12	1356	12	1986.0	18.0	잠실동	True	True
413354845.0	신반포한신16차아파트	2	2	396	2	1983.0	11.0		True	True
414891735.0	잠원동아아파트	7	7	856	7	2002.0	20.0		True	True
