osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
64988494	G	69	264	480	2004	강남구	도곡동	69.0	264.0	480	2004	69.0	264.0	2249.0546545249804		
74056398	오크우드 프리미어 코엑스센터 서울	27	118		2002	강남구	삼성동	27.0	118.0		2002	27.0	118.0	2089.845054972353		
117795643	역삼대우디오빌	26	83	457	2002	강남구	역삼동	26.0	83.0	457	2002	26.0	83.0	1159.8526882129127		
129600576	503동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1264.6790006005044		
129600577	502동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1176.5139412227104		
129600578	506동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1201.5812880730336		
129600579	504동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1202.3924316928042		
129600580	505동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1105.54980701736		
129600581	501동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1037.806673202159		
129600582	507동	15		150	1978	송파구	잠실동	15.0		150	1978	15.0	42.0	1242.1580701463433		
166189194	104	7	21	31	1999	광진구	자양동	7.0	21.0	31	1999	7.0	21.0	475.87587237728457	473260560.0	삼성아파트
172246210		23	81	67	2004	강남구	삼성동	23.0	81.0	67	2004	23.0	81.0	544.7027430077363		
175363909						서초구	양재동							172.35588887976567		
182192513	101	29	85	131	2005	강남구	대치동	29.0	85.0	131	2005	29.0	85.0	1241.347436444796	443028264.0	대치동부센트레빌아파트
182192515	103	29	85	131	2005	강남구	대치동	29.0	85.0	131	2005	29.0	85.0	1244.20493150595	443028264.0	대치동부센트레빌아파트
182192516	104	29	85	104	2005	강남구	대치동	29.0	85.0	104	2005	29.0	85.0	981.3049148780532	443028264.0	대치동부센트레빌아파트
182192517	105	29	85	105	2005	강남구	대치동	29.0	85.0	105	2005	29.0	85.0	1091.272819079009	443028264.0	대치동부센트레빌아파트
182197532	타워팰리스 B동	66	234	399	2002	강남구	도곡동	66.0	234.0	399	2002	66.0	234.0	1752.9054810634989	443030426.0	삼성타워팰리스1차
182197533	A	59	211	375	2002	강남구	도곡동	59.0	211.0	375	2002	59.0	211.0	1760.9220971820089	443030426.0	삼성타워팰리스1차
182197534	C동	59	211	353	2002	강남구	도곡동	59.0	211.0	353	2002	59.0	211.0	1994.2327087342396	443030426.0	삼성타워팰리스1차
