complex_name	subdistrict	n_buildings	total_flats	built_year	max_levels
송파헬리오시티	가락동	84	9458	2018.0	35.0
잠실 파크리오	신천동	66	6734	2008.0	36.0
반포자이아파트		59	3410	2009.0	29.0
개포자이프레지던스아파트	개포동	35	0		35.0
도곡렉슬아파트	도곡동	34	2992	2006.0	25.0
올림픽훼미리타운아파트 2단지		34	2664	1988.0	15.0
개포래미안포레스트아파트	개포동	32	2334	2020.0	35.0
한보은마아파트	대치동	28	4424	1979.0	14.0
신현대아파트	압구정동	27	1924	1982.0	13.0
강남한양수자인아파트	자곡동	26	1304	2014.0	10.0
잠실우성1.2.3차아파트	잠실동	26	1842	1981.0	15.0
삼풍아파트		24	2390	1988.0	15.0
디에이치아너힐즈아파트	개포동	23	1320	2019.0	33.0
래미안블레스티지아파트	개포동	23	1919	2019.0	35.0
상록수아파트	일원동	22	740	1993.0	5.0
수서1단지아파트	일원동	21	2934	1992.0	15.0
래미안 강남 힐즈	자곡동	20	1020	2014.0	15.0
한솔마을아파트	일원동	19	570	1994.0	5.0
서초네이처힐3단지아파트		17	1251	2013.0	19.0
세곡푸르지오아파트		16	912	2012.0	15.0
삼성동힐스테이트1차아파트	삼성동	16	1084	2008.0	23.0
개포현대2차아파트	개포동	15	683	1986.0	9.0
현대프라임아파트		15	1592	1997.0	30.0
대치삼성래미안아파트	대치동	15	971	2000.0	25.0
레미안포레아파트	자곡동	15	1070	2014.0	12.0
구의현대2단지아파트		15	1606	1996.0	27.0
개포우성7차아파트	일원동	15	802	1987.0	14.0
LH강남3단지아파트	자곡동	15	1065	2013.0	15.0
한남더힐아파트		14	257	2011.0	17.0
수서주공1단지아파트	수서동	14	2560	1992.0	15.0
강남데시앙포레아파트	수서동	14	787	2014.0	15.0
현대1,2차아파트	압구정동	13	960	1976.0	15.0
래미안대치팰리스1단지아파트	대치동	13	1278	2015.0	35.0
서초래미안아파트		13	1129	2003.0	27.0
LH강남브리즈힐아파트	자곡동	13	402	2014.0	15.0
삼성래미안아파트	송파동	13	846	2001.0	23.0
가람아파트	일원동	13	496	1993.0	5.0
청솔빌리지아파트	일원동	13	0		
현대맨션	신사동	13	0		
유엔빌리지	한남동	13	106	2007.0	11.0
양재 우성아파트		12	998	1991.0	15.0
수서삼성아파트	수서동	12	680	1997.0	15.0
아시아선수촌아파트	잠실동	12	1356	1986.0	18.0
역삼 래미안	역삼동	12	1050	2005.0	22.0
서울개포상록스타힐스아파트	일원동	12	1703	2022.0	25.0
강남한신휴플러스6단지	율현동	12	378	2015.0	10.0
역삼 e편한세상	역삼동	12	850	2005.0	25.0
삼성동힐스테이트2차아파트	삼성동	12	926	2008.0	23.0
래미안리더스원아파트		12	1317	2020.0	35.0
강남데시앙파크5단지아파트	세곡동	12	428	2011.0	12.0
