osm_id	building_type	name	truth_id	truth_name	cluster_id
64988494	apartments	G			393
117795643	apartments	역삼대우디오빌			303
129600576	apartments	503동			717
129600577	apartments	502동			718
129600578	apartments	506동			708
129600579	apartments	504동			713
129600580	apartments	505동			710
129600581	apartments	501동			721
129600582	apartments	507동			706
166189194	apartments	104	473260560.0	삼성아파트	560
172246210	apartments				456
182192513	apartments	101	443028264.0	대치동부센트레빌아파트	441
182192515	apartments	103	443028264.0	대치동부센트레빌아파트	441
182192516	apartments	104	443028264.0	대치동부센트레빌아파트	441
182192517	apartments	105	443028264.0	대치동부센트레빌아파트	441
182197532	apartments	타워팰리스 B동	443030426.0	삼성타워팰리스1차	395
182197533	apartments	A	443030426.0	삼성타워팰리스1차	395
182197534	apartments	C동	443030426.0	삼성타워팰리스1차	395
182197535	apartments	D	443030426.0	삼성타워팰리스1차	395
182695688	apartments	10	549692900.0	개포우성1차아파트	480
182695689	apartments	1	549692900.0	개포우성1차아파트	476
182695690	apartments	2	549692900.0	개포우성1차아파트	476
182695691	apartments	3	549692900.0	개포우성1차아파트	476
182695692	apartments	5	549692900.0	개포우성1차아파트	477
182695693	apartments	6	549692900.0	개포우성1차아파트	476
182695694	apartments	7	549692900.0	개포우성1차아파트	477
182695695	apartments	8	549692900.0	개포우성1차아파트	477
182695696	apartments	9	549692900.0	개포우성1차아파트	480
182695697	apartments	11	549692899.0	개포우성2차아파트	440
182695698	apartments	12	549692899.0	개포우성2차아파트	440
182695699	apartments	13	549692899.0	개포우성2차아파트	439
182695700	apartments	14	549692899.0	개포우성2차아파트	439
182695701	apartments	15	549692899.0	개포우성2차아파트	439
192695678	apartments	104	548704026.0	한솔마을아파트	577
192695680	apartments	103	548704025.0	상록수아파트	577
192695682	apartments	103	548704026.0	한솔마을아파트	577
192695683	apartments	203	548704026.0	한솔마을아파트	577
192695685	apartments	105	548704026.0	한솔마을아파트	577
192695686	apartments	305	548704026.0	한솔마을아파트	577
192695688	apartments	109	548704025.0	상록수아파트	577
192695689	apartments	302	548704026.0	한솔마을아파트	577
192695692	apartments	110	548704025.0	상록수아파트	577
192695694	apartments	101	548704026.0	한솔마을아파트	577
192695695	apartments	102	548704025.0	상록수아파트	577
192695696	apartments	105	548704025.0	상록수아파트	577
192695697	apartments	210	548704025.0	상록수아파트	577
192695698	apartments	106	548704025.0	상록수아파트	577
192695700	apartments	107	548704025.0	상록수아파트	577
192695701	apartments	206	548704026.0	한솔마을아파트	577
192695703	apartments	208	548704025.0	상록수아파트	577
192695705	apartments	204	548704026.0	한솔마을아파트	577
192695706	apartments	202	548704025.0	상록수아파트	577
192695708	apartments	108	548704025.0	상록수아파트	577
192695709	apartments	102	548704026.0	한솔마을아파트	577
192695712	apartments	101	548704025.0	상록수아파트	577
192695714	apartments	306	548704026.0	한솔마을아파트	577
192695717	apartments	301	548704026.0	한솔마을아파트	577
192695721	apartments	202	548704026.0	한솔마을아파트	577
192695723	apartments	107	548704026.0	한솔마을아파트	577
192695726	apartments	303	548704026.0	한솔마을아파트	577
192695727	apartments	201	548704026.0	한솔마을아파트	577
192695730	apartments	207	548704025.0	상록수아파트	577
192695731	apartments	204	548704025.0	상록수아파트	577
192695735	apartments	307	548704026.0	한솔마을아파트	577
192695738	apartments	201	548704025.0	상록수아파트	577
192695739	apartments	104	548704025.0	상록수아파트	577
192695741	apartments	211	548704025.0	상록수아파트	577
192695743	apartments	106	548704026.0	한솔마을아파트	577
192695745	apartments	206	548704025.0	상록수아파트	577
192695747	apartments	203	548704025.0	상록수아파트	577
192695749	apartments	209	548704025.0	상록수아파트	577
192695759	apartments	108	548704028.0	청솔빌리지아파트	577
192695761	apartments	112	548704028.0	청솔빌리지아파트	577
192695763	apartments	107	548704028.0	청솔빌리지아파트	577
192695765	apartments	109	548704028.0	청솔빌리지아파트	577
192695766	apartments	101	548704028.0	청솔빌리지아파트	577
192695767	apartments	103	548704028.0	청솔빌리지아파트	577
192695770	apartments	111	548704028.0	청솔빌리지아파트	577
192695773	apartments		548704028.0	청솔빌리지아파트	577
192695775	apartments	106	548704028.0	청솔빌리지아파트	577
192695777	apartments	110	548704028.0	청솔빌리지아파트	577
192695779	apartments	102	548704028.0	청솔빌리지아파트	577
192695780	apartments	105	548704028.0	청솔빌리지아파트	577
192728182	apartments	91동	471724556.0	압구정현대8차아파트	264
192743492	apartments	107동	313652588.0	롯데캐슬프레미어아파트	318
192743495	apartments	106동	313652588.0	롯데캐슬프레미어아파트	318
192743499	apartments	105동	313652588.0	롯데캐슬프레미어아파트	318
192743502	apartments	108동	313652588.0	롯데캐슬프레미어아파트	318
192743506	apartments	104동	313652588.0	롯데캐슬프레미어아파트	318
192743508	apartments	61동	432735931.0	현대3차아파트	273
192743510	apartments	102동	313652588.0	롯데캐슬프레미어아파트	318
192743514	apartments	63동	432735931.0	현대3차아파트	273
192743515	apartments	103동	313652588.0	롯데캐슬프레미어아파트	318
192743517	apartments	이스트윙	614498553.0	삼성동현대아이파크아파트	503
192743519	apartments	웨스트윙	614498553.0	삼성동현대아이파크아파트	503
192743522	apartments	사우스윙	614498553.0	삼성동현대아이파크아파트	501
192743526	apartments	62동	432735931.0	현대3차아파트	166
192743528	apartments	64동	432735931.0	현대3차아파트	272
192743530	apartments	109동	313652588.0	롯데캐슬프레미어아파트	318
192743532	apartments	101동	313652588.0	롯데캐슬프레미어아파트	318
192760470	apartments	대림아크로빌			270
192760472	apartments	76동	432735925.0	현대5차아파트	206
192760473	apartments	75동	432735925.0	현대5차아파트	206
192760478	apartments	85동	432735930.0	현대6,7차아파트압구	204
192760483	apartments	74동	432735925.0	현대5차아파트	207
192760487	apartments	80동	432735930.0	현대6,7차아파트압구	199
192760490	apartments	84동	432735930.0	현대6,7차아파트압구	200
192760493	apartments	73동	432735925.0	현대5차아파트	207
192760497	apartments	77동	432735930.0	현대6,7차아파트압구	205
192760500	apartments	79동	432735930.0	현대6,7차아파트압구	201
192760502	apartments	83동	432735930.0	현대6,7차아파트압구	202
192760504	apartments	86동	432735930.0	현대6,7차아파트압구	265
192760507	apartments	78동	432735930.0	현대6,7차아파트압구	203
192760510	apartments	82동	432735930.0	현대6,7차아파트압구	204
192760512	apartments	87동	432735930.0	현대6,7차아파트압구	200
192760515	apartments	81동	432735930.0	현대6,7차아파트압구	198
192760520	apartments	56동	432735926.0	현대4차아파트	166
192760521	apartments	54동	432735926.0	현대4차아파트	166
192760522	apartments	52동	432735926.0	현대4차아파트	166
192760523	apartments	51동	432735926.0	현대4차아파트	166
192760524	apartments	55동	432735926.0	현대4차아파트	166
192760526	apartments	53동	432735926.0	현대4차아파트	166
192760528	apartments	71동	432735925.0	현대5차아파트	166
192760530	apartments	72동	432735925.0	현대5차아파트	166
193180200	apartments	211동	432735929.0	현대13차아파트	164
193180202	apartments	210동	432735929.0	현대13차아파트	164
193180206	apartments	204동	432735928.0	현대14차아파트	164
193180208	apartments	23동	432735924.0	현대1,2차아파트	166
193180209	apartments	203동	432735928.0	현대14차아파트	164
193180210	apartments	201동	432735927.0	현대10차아파트	165
193180211	apartments	13동	432735924.0	현대1,2차아파트	166
193180212	apartments	12동	432735924.0	현대1,2차아파트	166
193180213	apartments	20동	432735924.0	현대1,2차아파트	166
193180214	apartments	24동	432735924.0	현대1,2차아파트	166
193180215	apartments	11동	432735924.0	현대1,2차아파트	166
193180216	apartments	25동	432735924.0	현대1,2차아파트	166
