osm_id	floor_band	repr_floor	n_candidates	sun_hours_winter	view_block_pct	open_angle_mean
664687922	LOW	5	305	0.0	88.9	54.2
664687922	MID	15	305	0.42	86.1	65.3
664687922	HIGH	25	305	6.08	50.0	84.1
775926772	LOW	3	328	3.33	84.7	72.4
775926772	MID	7	328	5.17	68.1	78.4
775926772	HIGH	12	328	6.08	4.2	86.1
700870372	LOW	5	224	2.25	81.9	69.0
700870372	MID	15	224	5.83	68.1	84.0
700870372	HIGH	25	224	6.08	30.6	122.9
394541430	LOW	5	228	2.92	77.8	66.2
394541430	MID	13	228	3.25	69.4	78.7
394541430	HIGH	22	228	6.08	30.6	120.9
394541428	LOW	4	225	1.33	81.9	57.8
394541428	MID	10	225	2.33	80.6	64.7
394541428	HIGH	16	225	3.0	75.0	76.7
663489498	LOW	6	223	1.58	68.1	72.7
663489498	MID	16	223	2.0	45.8	85.2
663489498	HIGH	26	223	4.92	18.1	126.7
730009520	LOW	5	235	4.75	23.6	93.8
730009520	MID	14	235	6.0	16.7	114.8
730009520	HIGH	24	235	6.08	2.8	145.0
899351932	LOW	3	281	3.58	56.9	76.3
899351932	MID	7	281	4.92	52.8	83.1
899351932	HIGH	12	281	6.08	13.9	88.1
492133685	LOW	3	297	2.17	86.1	71.1
492133685	MID	7	297	4.83	68.1	77.6
492133685	HIGH	12	297	6.08	0.0	86.2
839947872	LOW	6	204	6.08	56.9	82.7
839947872	MID	16	204	6.08	56.9	95.7
839947872	HIGH	26	204	6.08	44.4	116.7
803639603	LOW	4	310	0.5	75.0	57.0
803639603	MID	11	310	0.5	73.6	68.9
803639603	HIGH	19	310	5.67	26.4	87.9
1436297903	LOW	2	408	6.08	26.4	81.6
1436297903	MID	5	408	6.08	18.1	83.8
1436297903	HIGH	9	408	6.08	16.7	87.1
803489765	LOW	3	127	6.08	63.9	94.3
803489765	MID	8	127	6.08	61.1	100.3
803489765	HIGH	13	127	6.08	23.6	107.2
1089003967	LOW	3	182	5.25	70.8	80.5
1089003967	MID	8	182	6.08	48.6	86.8
1089003967	HIGH	14	182	6.08	27.8	103.7
1078429996	LOW	4	111	3.83	54.2	99.8
1078429996	MID	10	111	4.25	48.6	103.6
1078429996	HIGH	17	111	4.67	44.4	116.6
676724581	LOW	2	309	5.58	77.8	69.1
676724581	MID	2	309	5.58	77.8	69.1
676724581	HIGH	3	309	5.67	73.6	72.2
1080855207	LOW	4	256	0.58	94.4	56.5
1080855207	MID	11	256	1.75	94.4	67.8
1080855207	HIGH	18	256	6.08	66.7	80.4
923250037	LOW	2	98	4.17	61.1	80.1
