aptDong	aptNm	buildYear	buyerGbn	cdealDay	cdealType	dealAmount	dealDay	dealMonth	dealYear	dealingGbn	estateAgentSggNm	excluUseAr	floor	jibun	landLeaseholdGbn	rgstDate	sggCd	slerGbn	umdNm
1004	까치마을	1993	개인			145,000	20	6	2026	중개거래	서울 강남구	34.44	6	746	N	26.08.28	11680	개인	수서동
	우민	2002	개인			143,000	9	6	2026	중개거래	서울 강남구	74.758	4	107-44	N		11680	개인	논현동
	삼성동롯데아파트	2000	개인			235,000	4	6	2026	중개거래	서울 강남구	59.4	2	17	N		11680	개인	삼성동
	한신(개포)	1985	개인			295,000	29	6	2026	중개거래	서울 강남구	59.48	8	464	N		11680	개인	도곡동
	신동아	1992	개인			183,500	16	6	2026	중개거래	서울 강남구	39.53	14	736	N		11680	개인	수서동
	트레벨	2002	개인			59,000	30	6	2026	중개거래	서울 강남구, 서울 송파구	33.48	3	766-8	N		11680	개인	역삼동
	개나리푸르지오	2006	개인			290,000	27	6	2026	중개거래	서울 강남구	59.6851	11	755-1	N		11680	개인	역삼동
	강남자곡 힐스테이트	2015	개인			140,000	12	6	2026	중개거래	서울 강남구, 서울 서초구	51.96	12	619	N		11680	개인	자곡동
	대우디오빌	2002	개인			92,000	22	6	2026	중개거래	서울 강남구	59.505	21	720-25	N	26.07.24	11680	개인	역삼동
	삼익대청아파트	1992	개인			207,000	22	6	2026	중개거래	서울 강남구	51.12	8	12	N		11680	개인	개포동
409	개포자이프레지던스	2023	개인			371,000	20	6	2026	중개거래	서울 강남구	84.5978	3	1284	N	26.08.28	11680	개인	개포동
	영무예다음	2006	개인			180,000	23	6	2026	중개거래	서울 강남구	115.88	3	122-7	N		11680	개인	삼성동
	래미안대치팰리스	2015	개인			475,000	17	6	2026	중개거래	서울 강남구	94.49	12	1027	N		11680	개인	대치동
101	삼성동대성유니드	2004	개인			168,000	11	6	2026	중개거래	서울 강남구	83.93	5	129	N	26.08.27	11680	개인	삼성동
	개포자이프레지던스	2023	개인			401,000	25	6	2026	중개거래	서울 강남구	84.5978	23	1284	N		11680	개인	개포동
	래미안강남힐즈	2014	개인			230,000	24	6	2026	중개거래	서울 강남구	101.94	11	611	N		11680	개인	자곡동
	도곡렉슬	2006	개인			377,500	29	6	2026	중개거래	서울 강남구	84.9984	19	527	N		11680	개인	도곡동
	개포한신	1984	개인			290,000	27	6	2026	중개거래	서울 강남구	82.3	4	615-1	N		11680	개인	일원동
	강남엘에이치1단지	2013	개인			178,000	19	6	2026	중개거래	서울 강남구	59.89	10	579	N		11680	개인	세곡동
	개나리푸르지오	2006	개인			380,000	27	6	2026	중개거래	서울 강남구	132.8355	21	755-1	N		11680	개인	역삼동
	청담현대3차아파트	1999	개인			240,000	20	6	2026	중개거래	서울 강남구	59.95	9	127-31	N		11680	개인	청담동
	도곡렉슬	2006	개인			450,000	29	6	2026	중개거래	서울 강남구	120.8233	12	527	N		11680	법인	도곡동
	대우디오빌	2002	개인			30,500	23	6	2026	중개거래	서울 강남구	30.03	18	720-25	N		11680	개인	역삼동
	현대3차(61~64동)	1976	개인			465,000	19	6	2026	중개거래	서울 강남구, 서울 서초구	82.5	1	443	N		11680	개인	압구정동
에프	타워팰리스2	2003	개인			365,000	16	6	2026	중개거래	서울 강남구	115.63	4	467-17	N	26.08.20	11680	개인	도곡동
1	이지마루역삼	2018	개인			39,500	22	6	2026	중개거래	서울 강남구	26.5	7	678-27	N	26.07.16	11680	개인	역삼동
708	개포주공7단지	1983	개인			298,000	20	6	2026	중개거래	서울 강남구	53.46	3	185	N	26.08.10	11680	개인	개포동
	강남브리즈힐(토지임대부아파트)	2014	개인			130,000	27	6	2026	중개거래	서울 강남구	74.44	6	618	Y		11680	개인	자곡동
	삼성동중앙하이츠빌리지	2004	개인			435,000	12	6	2026	중개거래	서울 강남구	152.98	6	14-1	N		11680	개인	삼성동
	신동아	1992	개인	26.07.25	O	183,500	16	6	2026	중개거래	서울 강남구	39.53	14	736	N		11680	개인	수서동
	경남아너스빌	2002	개인			156,000	9	6	2026	직거래		81.013	10	722	N	26.07.13	11680	개인	역삼동
	이산	2011	개인			55,000	11	6	2026	중개거래	서울 서초구	57.18	2	194-22	N	26.08.03	11680	개인	논현동
	도곡우성아파트	1986	개인			270,000	22	6	2026	중개거래	서울 강남구	84.83	14	934-10	N		11680	개인	도곡동
현대썬앤빌 테헤란	현대썬앤빌테헤란	2016	개인			49,200	26	6	2026	중개거래	서울 강남구	36.12	6	894	N	26.08.14	11680	개인	대치동
	현대썬앤빌테헤란	2016	개인			77,000	11	6	2026	중개거래	서울 강남구	49.24	7	894	N		11680	개인	대치동
	샘터마을	1994	개인			308,000	10	6	2026	중개거래	서울 강남구	115.366	3	718	N		11680	개인	일원동
	대치더클래스	2022	개인			235,000	22	6	2026	중개거래	서울 강남구	84.22	4	1031	N		11680	개인	대치동
	쌍용대치아파트1동,2동,3동,5동,6동	1983	개인			470,000	25	6	2026	중개거래	서울 강남구	148.8	14	66	N		11680	개인	대치동
	선경1차(1동-7동)	1983	개인			507,000	23	6	2026	중개거래	서울 강남구	136.68	8	506	N		11680	개인	대치동
	아카데미스위트1	2004	개인			277,000	27	6	2026	중개거래	서울 강남구	122.07	10	467-7	N		11680	개인	도곡동
