aptSeq	apt_name	umd_name	jibun	build_year	n_trades	name_key	osm_id	name	osm_build_year	osm_n_dong
11680-5235	개포자이프레지던스	개포동	1284	2023.0	79	개포자이프레지던스	357824808.0	개포자이프레지던스아파트		35.0
11680-3623	도곡렉슬	도곡동	527	2006.0	67	도곡렉슬	469110558.0	도곡렉슬아파트	2006.0	34.0
11680-4929	개포래미안포레스트	개포동	1282	2020.0	55	개포래미안포레스트	392455561.0	개포래미안포레스트아파트	2020.0	32.0
11680-4850	디에이치아너힐즈	개포동	1281	2019.0	18	디에이치아너힐즈	357824807.0	디에이치아너힐즈아파트	2019.0	23.0
11680-4800	래미안블레스티지	개포동	1280	2019.0	41	래미안블레스티지	689125593.0	래미안블레스티지아파트	2019.0	23.0
11680-303	상록수	일원동	734	1993.0	9	상록수	548704025.0	상록수아파트	1993.0	22.0
11680-4319	래미안강남힐즈	자곡동	611	2014.0	51	래미안강남힐즈	382238720.0	래미안 강남 힐즈	2014.0	20.0
11680-309	한솔마을	일원동	731	1994.0	13	한솔마을	548704026.0	한솔마을아파트	1994.0	19.0
11680-4090	세곡푸르지오	세곡동	533	2012.0	29	세곡푸르지오	382238725.0	세곡푸르지오아파트	2012.0	16.0
11680-4324	강남데시앙포레	수서동	795	2014.0	15	강남데시앙포레	644037585.0	강남데시앙포레아파트	2014.0	14.0
11680-299	가람	일원동	735	1993.0	5	가람	548704027.0	가람아파트	1993.0	13.0
11680-331	삼성래미안	도곡동	91-5	2001.0	9	삼성래미안	549692897.0	삼성래미안아파트	2001.0	13.0
11680-4398	강남한신휴플러스6단지	율현동	365	2015.0	9	강남한신휴플러스6단지	468911124.0	강남한신휴플러스6단지	2015.0	12.0
11680-3621	역삼래미안	역삼동	757	2005.0	17	역삼래미안	417923179.0	역삼 래미안	2005.0	12.0
11680-3643	역삼푸르지오	역삼동	754-1	2006.0	19	역삼푸르지오	417923181.0	역삼 푸르지오아파트	2006.0	11.0
11680-3733	롯데캐슬프레미어	삼성동	11	2007.0	14	롯데캐슬프레미어	313652588.0	롯데캐슬프레미어아파트	2007.0	11.0
11680-3752	대치아이파크	대치동	888	2008.0	13	대치아이파크	614507249.0	대치아이파크아파트	2008.0	11.0
11680-4399	강남한신휴플러스8단지	율현동	513	2015.0	1	강남한신휴플러스8단지	471686470.0	강남한신휴플러스8단지아파트	2015.0	11.0
11680-4510	강남 더샵 포레스트	수서동	799	2016.0	13	강남더샵포레스트	644037586.0	강남더샵포레스트아파트	2016.0	10.0
11680-20	미성2차	압구정동	397	1987.0	8	미성2차	432034139.0	미성2차아파트	1987.0	9.0
11680-5251	대치푸르지오써밋	대치동	1032	2023.0	5	대치푸르지오써밋	900203755.0	대치푸르지오써밋아파트	2023.0	9.0
11680-290	개포주공6단지	개포동	185	1983.0	16	개포주공6단지	469682978.0	개포주공 6단지 아파트	1983.0	9.0
11680-304	샘터마을	일원동	718	1994.0	10	샘터마을	548704032.0	샘터마을아파트	1994.0	9.0
11680-4173	래미안도곡카운티	도곡동	538-3	2016.0	2	래미안도곡카운티	614507246.0	래미안도곡카운티아파트	2016.0	8.0
11680-578	개포주공7단지	개포동	185	1983.0	16	개포주공7단지	469682980.0	개포주공 7단지 아파트	1983.0	8.0
