aptSeq	apt_name	umd_name	jibun	build_year	n_trades
11680-4375	강남자곡 힐스테이트	자곡동	619	2015.0	58
11680-3834	삼성동힐스테이트 1단지	삼성동	16-2	2008.0	43
11680-218	은마	대치동	316	1979.0	42
11680-275	대우디오빌	역삼동	720-25	2002.0	36
11680-109	신동아(22)	논현동	22	1997.0	36
11680-4394	래미안대치팰리스	대치동	1027	2015.0	30
11680-4199	강남엘에이치1단지	세곡동	579	2013.0	28
11680-305	수서	일원동	711	1992.0	27
11680-3830	현대힐스테이트2단지	삼성동	50	2008.0	23
11680-4780	래미안 개포 루체하임	일원동	741	2018.0	21
11680-327	럭키(963)	도곡동	963	1995.0	21
11680-3679	역삼I'PARK	역삼동	713-11	2006.0	21
11680-317	삼익	수서동	708	1992.0	20
11680-349	한신(개포)	도곡동	464	1985.0	19
11680-205	대치삼성	대치동	1014-3	2000.0	19
11680-4341	강남브리즈힐(토지임대부아파트)	자곡동	618	2014.0	18
11680-425	신현대11차	압구정동	433	1983.0	18
11680-4332	강남자곡아이파크	자곡동	602	2014.0	17
11680-3622	e-편한세상	역삼동	755-4	2005.0	15
11680-423	신현대9차	압구정동	426	1982.0	14
11680-566	아카데미스위트1	도곡동	467-7	2004.0	14
11680-121	동현아파트1~6	논현동	105	1985.0	14
11680-472	아이파크	삼성동	87	2004.0	13
11680-98	청담대림이-편한세상	청담동	30-33	2002.0	13
11680-249	한화진넥스빌	역삼동	706-20	2001.0	13
11680-354	현대비젼21	도곡동	467-19	1999.0	13
11680-522	LG선릉에클라트(B)	삼성동	142-3	2004.0	12
11680-422	현대8차(성수현대:91~95동)	압구정동	481	1980.0	12
11680-3728	롯데캐슬노블	역삼동	835-68	2007.0	11
11680-3647	SK허브프리모	도곡동	953-1	2006.0	11
11680-41	삼환(101동)	청담동	10	1999.0	11
11680-217	대치우성아파트1동,2동,3동,5동,6동,7동	대치동	63	1984.0	11
11680-225	현대1	대치동	992	1990.0	10
11680-195	한일	삼성동	48	2001.0	10
11680-529	테헤란로대우아이빌(891-6)	대치동	891-6	2004.0	10
11680-470	타워팰리스3	도곡동	467-29	2004.0	10
11680-3	로데오현대	신사동	658	1998.0	10
11680-3731	도곡스타클래스	도곡동	957-11	2007.0	9
11680-551	마일스디오빌	논현동	58-2	2004.0	9
11680-62	진흥아파트	청담동	65	1984.0	8
11680-416	현대2차(10,11,20,23,24,25동)	압구정동	369-1	1976.0	8
11680-668	대우디오빌플러스	역삼동	824-25	2004.0	8
11680-3732	래미안삼성2차	삼성동	7-3	2007.0	8
11680-373	쌍용대치아파트1동,2동,3동,5동,6동	대치동	66	1983.0	8
11680-187	진흥아파트	삼성동	53-2	1984.0	8
11680-531	대우아이빌멤버스(891-26)	대치동	891-26	2003.0	8
11680-560	대우디오빌	도곡동	952	2004.0	8
11680-34	삼성청담공원아파트	청담동	60	1999.0	8
11680-293	현대2	개포동	654	1986.0	7
11680-4291	래미안청담로이뷰	청담동	134	1992.0	7
11680-530	대우아이빌명문가(891-23)	대치동	891-23	2004.0	7
11680-65	청담건영	청담동	108	1994.0	7
11680-251	한스빌(836)	역삼동	836	1996.0	7
11680-136	쌍용	논현동	103	1996.0	7
11680-3722	쌍용플레티넘밸류	역삼동	826-37	2007.0	7
11680-350	한신엠비씨	도곡동	895-8	1988.0	6
11680-699	논현동한화꿈에그린	논현동	205-2	2005.0	6
11680-2	압구정대원칸타빌아파트	신사동	659	2001.0	6
11680-434	LG선릉에클라트(A)	삼성동	142-7	2003.0	6
11680-380	한양3	압구정동	489	1978.0	6
11680-212	선경3차	대치동	602	1990.0	5
11680-525	미켈란147	삼성동	147-2	2004.0	5
11680-236	대림역삼	역삼동	761-10	1997.0	5
11680-277	경남1	개포동	649	1984.0	5
11680-306	우성7	일원동	615	1987.0	5
11680-420	현대6차(78~81,83,84,86,87동)	압구정동	456	1978.0	5
11680-4994	펜트힐루논현	논현동	211-21	2021.0	5
11680-5100	개포자이르네	개포동	1283	2022.0	5
11680-4958	시티프라디움더강남101동	역삼동	900	2021.0	5
11680-504	역삼동우정에쉐르1	역삼동	826-29	2004.0	5
11680-474	대우유로카운티	청담동	50-5	2004.0	5
11680-33	삼성청담아파트	청담동	42	1999.0	5
11680-352	현대그린1	도곡동	964	2006.0	5
11680-3726	논현파라곤	논현동	241-1	2007.0	5
11680-3633	청담2차이-편한세상(204동)	청담동	15	2005.0	5
11680-3624	래미안삼성1차(105-0)	삼성동	105	2005.0	5
11680-3592	e-편한세상	논현동	195-1	2005.0	5
11680-6668	역삼센트럴아파트	역삼동	905	2025.0	5
11680-105	경남논현	논현동	274	1996.0	5
11680-104	거평프리젠	논현동	196	1996.0	4
11680-141	청학아파트에이동,비동,씨동	논현동	62-3	1976.0	4
11680-172	강변삼부아파트	삼성동	99-12	2000.0	4
11680-705	그랜빌캐슬	도곡동	190-3	2003.0	4
11680-3600	파크힐	도곡동	550-1	2005.0	4
11680-315	동익	수서동	738	1993.0	4
11680-311	현대4	일원동	614	1987.0	4
11680-274	트레벨	역삼동	766-8	2002.0	4
11680-338	우성사원5	도곡동	463-1	1986.0	4
11680-228	롯데캐슬	대치동	893	2002.0	4
11680-214	쌍용대치2	대치동	65	1983.0	4
11680-496	브라운스톤역삼	역삼동	747-5	2004.0	4
11680-421	현대7차(73~77,82,85동)	압구정동	456	1979.0	4
11680-505	개포자이	개포동	12-2	2004.0	4
11680-21	한양6	압구정동	484	1980.0	4
11680-9	신성아파트101동	신사동	622	1996.0	4
11680-267	역삼동하나빌	역삼동	681-26	2002.0	4
11680-3734	도곡1차아이파크	도곡동	543-7	2007.0	3
11680-379	한양2	압구정동	493	1978.0	3
11680-3651	래미안삼성1차(103-22)	삼성동	103-22	2006.0	3
11680-418	현대4차저층(51~56동)	압구정동	462	1977.0	3
11680-666	진넥스빌2	역삼동	706-24	2003.0	3
11680-671	새롬(1164-13)	개포동	1164-13	2000.0	3
11680-682	대치한신휴플러스	대치동	907-2	2005.0	3
11680-158	논현베르빌	논현동	214-2	2002.0	3
11680-332	삼익	도곡동	869	1983.0	3
11680-4293	래미안대치하이스턴	대치동	985	1989.0	3
11680-348	포스코트	도곡동	164-6	2002.0	3
11680-3946	청담4차이-편한세상	청담동	28-20	2011.0	3
11680-285	우성8	개포동	179	1987.0	3
11680-407	삼부아그레빌	삼성동	98-11	2003.0	3
11680-344	중명하니빌	도곡동	965	1997.0	3
11680-269	세방하이빌1	역삼동	771-4	2003.0	3
11680-5268	디에이치퍼스티어아이파크	개포동	660-4	2023.0	3
11680-528	선릉역대우아이빌(890-49)	대치동	890-49	2004.0	3
11680-5083	대치더클래스	대치동	1031	2022.0	3
11680-592	우성아파트	청담동	11-25	2005.0	3
11680-18	알파임하우스1	신사동	649-5	2002.0	3
