aptSeq	apt_name	umd_name	jibun	road_nm	road_bon	road_bub	build_year	n_trades	addr_road	addr_jibun	lon	lat	geocode_source	cluster_id	n_dong	cluster_year
11680-101	한신오페라하우스	청담동	35-47	삼성로135길	00047	00000	2003.0	1	서울 강남구 삼성로135길 47	서울 강남구 청담동 35-47	127.045342013722	37.5192185245638	road	167.0	93.0	2007.0
11680-104	거평프리젠	논현동	196	강남대로112길	00041	00000	1996.0	4	서울 강남구 강남대로112길 41	서울 강남구 논현동 196	127.027654780001	37.5063234128444	road	93.0	3.0	2020.0
11680-105	경남논현	논현동	274	언주로116길	00012	00000	1996.0	5	서울 강남구 언주로116길 12	서울 강남구 논현동 274	127.038181433942	37.5106666561173	road	122.0	5.0	2003.0
11680-109	신동아(22)	논현동	22	강남대로146길	00028	00000	1997.0	36	서울 강남구 강남대로146길 28	서울 강남구 논현동 22	127.02305387288	37.5150407176491	road	74.0	11.0	1997.0
11680-121	동현아파트1~6	논현동	105	언주로146길	00018	00000	1985.0	14	서울 강남구 언주로146길 18	서울 강남구 논현동 105	127.037498646973	37.520225713344	road	130.0	16.0	1986.0
11680-124	삼성빌라트	논현동	79-5	학동로31길	00029	00000	1998.0	2	서울 강남구 학동로31길 29	서울 강남구 논현동 79-5	127.031313396095	37.5165434929186	road	96.0	1.0	
11680-128	세호시티라이프	논현동	122-25	강남대로128길	00027	00000	1996.0	1	서울 강남구 강남대로128길 27	서울 강남구 논현동 122-25	127.024327715701	37.5104241673508	road	73.0	1.0	2012.0
11680-136	쌍용	논현동	103	도산대로50길	00043	00000	1996.0	7	서울 강남구 도산대로50길 43	서울 강남구 논현동 103	127.037888010464	37.5197861699139	road	130.0	16.0	1986.0
11680-1364	아람손프라자/비바빌	개포동	1164-7	논현로2길	00022	00000	2001.0	1	서울 강남구 논현로2길 22	서울 강남구 개포동 1164-7	127.052383913866	37.4728114269133	road	193.0	1.0	
11680-137	논현빌라트	논현동	102-9	선릉로137길	00006	00000	1999.0	1	서울 강남구 선릉로137길 6	서울 강남구 논현동 102-9	127.039926372565	37.5192663404778	road	130.0	16.0	1986.0
11680-141	청학아파트에이동,비동,씨동	논현동	62-3	도산대로	00232	00000	1976.0	4	서울 강남구 도산대로 232	서울 강남구 논현동 62-3	127.032558192645	37.5203811599576	road	131.0	4.0	2024.0
