aptSeq	apt_name	build_year	n_trades	n_dong	n_with_height	total_flats	osm_year_median	max_levels	mean_dist
11680-101	한신오페라하우스	2003.0	1	6.0	4	154	2003.0	12	49.71967930900146
11680-104	거평프리젠	1996.0	4	3.0	2	405	2020.0	15	57.819230195815415
11680-105	경남논현	1996.0	5	3.0	3	118	1997.0	22	119.94475726902358
11680-109	신동아(22)	1997.0	36	6.0	6	646	1997.0	13	67.03198698432182
11680-121	동현아파트1~6	1985.0	14	5.0	5	464	1986.0	14	121.78445833588145
11680-124	삼성빌라트	1998.0	2	1.0	0	0			72.68023364974393
11680-128	세호시티라이프	1996.0	1	1.0	1	245	2012.0	11	70.73502676005621
11680-136	쌍용	1996.0	7	1.0	1	111	1996.0	12	27.64157964338164
11680-1364	아람손프라자/비바빌	2001.0	1	1.0	0	0			43.75214768766021
11680-137	논현빌라트	1999.0	1						
11680-141	청학아파트에이동,비동,씨동	1976.0	4	5.0	5	72	2020.0	19	49.79010930180511
11680-15	신사동씨티빌	2002.0	1	2.0	2	157	1991.0	12	196.24759610720622
11680-158	논현베르빌	2002.0	3	3.0	3	368	2020.0	15	120.64765379688298
11680-160	논현한가람빌라트	2002.0	1	2.0	0	0			22.43159556009459
11680-161	우민	2002.0	4	1.0	1	70	2002.0	6	2.3776277520305915
11680-164	테크노빌라트	2002.0	1						
11680-168	삼성동롯데아파트	2000.0	9	3.0	3	339	2000.0	20	42.490543845175445
11680-172	강변삼부아파트	2000.0	4	5.0	5	167	1999.0	20	47.45398150519313
11680-177	서광아파트	1998.0	11	2.0	2	222	2011.0	20	59.755019506747544
11680-178	석탑아파트101동	1996.0	2						
11680-179	세방타운하우스	1998.0	1	1.0	1	19	1998.0	10	135.96561221808025
11680-18	알파임하우스1	2002.0	3	1.0	1	19	2002.0	10	7.975294792695639
11680-180	삼성파크	2001.0	3	3.0	1	114	2001.0	13	65.4477081233127
11680-187	진흥아파트	1984.0	8	6.0	6	366	1984.0	15	110.89908948472112
11680-189	청구아파트	1992.0	3	5.0	5	413	1992.0	20	67.28203089813192
11680-190	푸른솔아파트1동	1996.0	1						
11680-191	풍림(1차)	1998.0	10	3.0	1	252	1998.0	19	45.15228487024325
11680-192	삼성풍림2차아파트	1998.0	1	1.0	0	0			2.329122048886379
11680-193	풍림	1997.0	1	1.0	1	44	1997.0	9	3.62527178237493
11680-194	삼성동한솔아파트	1998.0	11	2.0	2	263	1998.0	19	51.4903151418633
11680-195	한일	2001.0	10	1.0	1	127	2001.0	15	5.483570266447857
11680-197	현대아파트101동	1999.0	2	2.0	2	238	2001.0	19	32.419046642071805
11680-2	압구정대원칸타빌아파트	2001.0	6	2.0	2	130	2001.0	17	20.960866652967603
11680-20	미성2차	1987.0	8	11.0	11	940	1987.0	17	150.37145895183716
11680-205	대치삼성	2000.0	19	14.0	14	971	2000.0	25	95.57389698272883
11680-206	대치현대	1999.0	13	7.0	7	589	1999.0	24	69.85182586517094
11680-207	대치효성	1999.0	1	2.0	2	124	1999.0	17	39.76551896601624
11680-21	한양6	1980.0	4	7.0	7	626	1980.0	13	95.60993333651358
11680-211	선경1차(1동-7동)	1983.0	7	15.0	15	1509	1983.0	15	166.45043566914853
11680-212	선경3차	1990.0	5	2.0	1	0		10	46.426377390316375
11680-213	세영팔레스타운	2002.0	2	1.0	1	67	2002.0	13	3.081052135265086
11680-214	쌍용대치2	1983.0	4	5.0	5	420	1984.0	14	80.4938609706787
11680-216	개포우성2	1984.0	6	11.0	11	930	1983.0	15	151.8714490354729
11680-217	대치우성아파트1동,2동,3동,5동,6동,7동	1984.0	11	5.0	5	323	1984.0	17	66.93070997813379
11680-218	은마	1979.0	42	15.0	15	2044	1979.0	14	182.44022082489477
11680-222	한보미도맨션1	1983.0	20	17.0	17	2491	1985.0	14	170.87776939565455
11680-225	현대1	1990.0	10	2.0	2	210	1989.5	16	39.85036090298953
11680-228	롯데캐슬	2002.0	4	4.0	4	230	2002.0	22	40.49251131623599
11680-233	거평빌라트	1996.0	1						
