osm_id	dong_name	start_date	levels	height	flats	osm_year	levels_num	height_num	flats_num	building_height_m	aptSeq	dist_m	anchor_rank
64988494	G	2004	69	264	480	2004	69	264.0	480	264.0	11680-470	80.238785712479	0.0
117795643	역삼대우디오빌	2002	26	83	457	2002	26	83.0	457	83.0	11680-275	3.7765545799815317	0.0
129600576	503동	1978	15		150	1978	15		150	42.0			
129600577	502동	1978	15		150	1978	15		150	42.0			
129600578	506동	1978	15		150	1978	15		150	42.0			
129600579	504동	1978	15		150	1978	15		150	42.0			
129600580	505동	1978	15		150	1978	15		150	42.0			
129600581	501동	1978	15		150	1978	15		150	42.0			
129600582	507동	1978	15		150	1978	15		150	42.0			
166189194	104	1999	7	21	31	1999	7	21.0	31	21.0			
172246210		2004	23	81	67	2004	23	81.0	67	81.0	11680-525	1.0506258064873313	0.0
182192513	101	2005	29	85	131	2005	29	85.0	131	85.0	11680-601	69.09221367614336	0.0
182192515	103	2005	29	85	131	2005	29	85.0	131	85.0	11680-601	220.03740005680677	0.0
182192516	104	2005	29	85	104	2005	29	85.0	104	85.0	11680-601	268.43694104337766	2.0
182192517	105	2005	29	85	105	2005	29	85.0	105	85.0	11680-601	203.58249336339287	1.0
182197532	타워팰리스 B동	2002	66	234	399	2002	66	234.0	399	234.0	11680-364	117.61767152923765	0.0
182197533	A	2002	59	211	375	2002	59	211.0	375	211.0	11680-365	132.0820605820066	0.0
182197534	C동	2002	59	211	353	2002	59	211.0	353	211.0	11680-364	84.87089736283606	0.0
182197535	D	2002	42	154	168	2002	42	154.0	168	154.0	11680-364	2.2055682302871515	0.0
182695688	10	1983	15		60	1983	15		60	42.0	11680-216	104.27012522608698	0.0
182695689	1	1983	15		90	1983	15		90	42.0	11680-294	216.06122058002998	-1.0
182695690	2	1983	15		60	1983	15		60	42.0	11680-216	253.20706887350636	1.0
182695691	3	1983	15		90	1983	15		90	42.0	11680-216	196.15153016682606	0.0
182695692	5	1983	15		60	1983	15		60	42.0	11680-216	235.24275281458628	0.0
182695693	6	1983	15		60	1983	15		60	42.0	11680-216	160.23794623432218	0.0
182695694	7	1983	15		120	1983	15		120	42.0	11680-216	224.14725351412298	0.0
182695695	8	1983	15		90	1983	15		90	42.0	11680-216	141.44274141217898	0.0
182695696	9	1983	15		60	1983	15		60	42.0	11680-372	167.6084133545199	0.0
182695697	11	1984	15		90	1984	15		90	42.0	11680-216	4.274354280383906	0.0
182695698	12	1984	15		120	1984	15		120	42.0	11680-216	92.4086843730475	0.0
182695699	13	1984	15		90	1984	15		90	42.0	11680-216	70.46130096297772	0.0
182695700	14	1984	15		60	1984	15		60	42.0	11680-372	110.34542630033737	0.0
182695701	15	1984	15		90	1984	15		90	42.0	11680-216	188.7421815321628	1.0
192695678	104	1994	5		40	1994	5		40	14.0	11680-309	85.96927363367314	0.0
192695680	103	1993	5		40	1993	5		40	14.0	11680-303	272.7416983268283	0.0
192695682	103	1994	5		30	1994	5		30	14.0	11680-309	56.9006018679392	0.0
192695683	203	1994	5		30	1994	5		30	14.0	11680-309	132.195179914534	0.0
192695685	105	1994	5		30	1994	5		30	14.0	11680-309	115.06942789083793	0.0
192695686	305	1994	5		40	1994	5		40	14.0	11680-309	264.2285239515468	0.0
