confidence	aptSeq	apt_name	gu	addr_road	n_deals	build_year	reg_year	osm_year_median	year_diff	n_dong	reg_dong	dong_diff	reg_units	n_by_boundary	n_height_imputed	max_levels	max_height_m	mean_dist	dong_dist_max	levels_spread	year_spread	prescreen	dong_list	kakao_map_url	verdict	note
HIGH	11650-3704	서초네이처힐4단지	서초구	서울 서초구 태봉로2길 65	321	2011.0	2011.0	2011.0	0.0	7.0	7.0	0.0	409.0	7.0	0.0	15.0	45.0	70.65489359777526	131.0	0.0	0.0		402:15F:45m | 403:15F:45m | 401:15F:45m | 404:15F:45m | 407:15F:45m | 406:15F:45m | 405:15F:45m	https://map.kakao.com/link/map/서초네이처힐4단지,37.4641257392669,127.0257879338		
HIGH	11560-13	미성	영등포구	서울 영등포구 의사당대로 110	273	1978.0	1978.0	1978.0	0.0	5.0	5.0	0.0	577.0	5.0	0.0	13.0	39.0	100.13237247910372	152.0	1.0	0.0		D동:12F:36m | E동:12F:36m | A동:13F:39m | B동:12F:36m | C동:12F:36m	https://map.kakao.com/link/map/미성,37.5204013377516,126.924636363793		
HIGH	11290-113	아이파크종암동1차	성북구	서울 성북구 종암로21길 127	240	2004.0	2004.0	2004.0	0.0	7.0	7.0	0.0	513.0	7.0	0.0	20.0	54.0	68.19783479780544	110.0	10.0	0.0	층수편차10F	?:20F:54m | ?:20F:54m | ?:20F:54m | ?:20F:54m | ?:19F:51m | ?:19F:51m | ?:10F:27m	https://map.kakao.com/link/map/아이파크종암동1차,37.6028249858547,127.029399897773		
HIGH	11590-51	제일	동작구	서울 동작구 사당로16다길 57	234	1987.0	1987.0	1987.0	0.0	3.0	3.0	0.0	296.0	3.0	0.0	10.0	28.0	45.73200590700836	69.0	0.0	0.0		?:10F:28m | ?:10F:28m | ?:10F:28m	https://map.kakao.com/link/map/제일,37.4826874348797,126.969254071316		
HIGH	11500-5851	공항동부센트레빌	강서구	서울 강서구 남부순환로 11	117	2009.0	2009.0	2007.0	2.0	3.0	3.0	0.0	215.0	3.0	0.0	15.0	42.0	61.19625065164559	110.0	5.0	0.0		?:10F:28m | ?:15F:42m | ?:15F:42m	https://map.kakao.com/link/map/공항동부센트레빌,37.5611118589711,126.808165329292		
HIGH	11440-6250	마포푸르지오더센트럴	마포구	서울 마포구 마포대로 231	112	2023.0	2023.0	2023.0	0.0	2.0	2.0	0.0	234.0	2.0	0.0	18.0	58.0	21.016796084839683	35.0	0.0	0.0		?:18F:58m | ?:18F:58m	https://map.kakao.com/link/map/마포푸르지오더센트럴,37.5544939950533,126.956447146807		
HIGH	11650-138	잠원현대훼밀리	서초구	서울 서초구 신반포로 261	90	1997.0	1997.0	1997.0	0.0	1.0	1.0	0.0	113.0	1.0	0.0	17.0	56.0	3.3585256531252625	3.0	0.0	0.0		잠원현대훼밀리아파트:17F:56m	https://map.kakao.com/link/map/잠원현대훼밀리,37.5087788699122,127.012637661592		
HIGH	11500-5104	현대아이파크	강서구	서울 강서구 공항대로 637	71	2005.0	2005.0	2005.0	0.0	1.0	1.0	0.0	136.0	1.0	0.0	14.0	40.0	10.699582325639	11.0	0.0	0.0		?:14F:40m	https://map.kakao.com/link/map/현대아이파크,37.5475712417486,126.875932640151		
HIGH	11470-42	월드메르디앙	양천구	서울 양천구 목동중앙본로 34	41	2001.0	2001.0	2001.0	0.0	1.0	1.0	0.0	86.0	1.0	0.0	15.0	41.0	2.2499757954137247	2.0	0.0	0.0		?:15F:41m	https://map.kakao.com/link/map/월드메르디앙,37.5393761601965,126.869862877497		
HIGH	11470-3937	명지해드는터	양천구	서울 양천구 목동중앙서로11길 49-5	36	2005.0	2005.0	2005.0	0.0	1.0	1.0	0.0	70.0	1.0	0.0	12.0	41.0	4.185540133748638	4.0	0.0	0.0		?:12F:41m	https://map.kakao.com/link/map/명지해드는터,37.5343089571195,126.867130042293		
HIGH	11320-2344	금광포란재아파트	도봉구	서울 도봉구 도봉로150바길 26	29	2005.0	2005.0	2005.0	0.0	2.0	2.0	0.0	105.0	2.0	0.0	15.0	42.0	26.611868146645836	52.0	0.0	0.0		?:15F:42m | ?:15F:42m	https://map.kakao.com/link/map/금광포란재아파트,37.6648917145718,127.045113695531		
HIGH	11500-481	이너스102동	강서구	서울 강서구 강서로47길 79	14	2003.0	2003.0			1.0	1.0	0.0	18.0	1.0	0.0			2.4521174257947327	2.0				102동:?F:?m	https://map.kakao.com/link/map/이너스102동,37.5528995385376,126.831733303582		
HIGH	11740-79	현대1차아파트	강동구	서울 강동구 동남로49길 57	13	1984.0	1984.0	1984.0	0.0	4.0	4.0	0.0	572.0	4.0	0.0	14.0	41.0	108.16725089820449	126.0	3.0	40.0	준공편차40년	?:11F:30m | ?:14F:41m | ?:11F:30m | ?:14F:38m	https://map.kakao.com/link/map/현대1차아파트,37.5312143525386,127.146091725725		
HIGH	11215-5187	광장르엣지29	광진구	서울 광진구 광나루로 589	8	2024.0	2024.0	2024.0	0.0	1.0	1.0	0.0	29.0	1.0	0.0	16.0	57.0	1.3510987383212496	1.0	0.0	0.0		?:16F:57m	https://map.kakao.com/link/map/광장르엣지29,37.5430043744229,127.094435605735		
HIGH	11260-2018	미랜드프래임빌(102동)	중랑구	서울 중랑구 면목로95길 22	5	2006.0	2006.0			1.0	1.0	0.0	18.0	1.0	0.0			3.775152429022132	4.0				101동:?F:?m	https://map.kakao.com/link/map/미랜드프래임빌(102동),37.5954812323465,127.084303696048		
