aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11740-91	선사현대아파트	강동구	MIXED	15.0	16.0	-1.0	2938.0	2000.0	2000.0	선사현대	2379	11740100001623
11110-45	동문(비동,씨동)(494-0)	종로구	LOW	1.0	2.0	-1.0	32.0	1997.0	1997.0	동문(비동,씨동)(494-0)	4	11110100000048
11140-1099	SK리더스뷰남산	중구	NAME	1.0	2.0	-1.0	233.0	2010.0	2010.0	SK리더스뷰남산	99	11140120125432
11140-1123	쌍용남산플래티넘	중구	LOW	1.0	2.0	-1.0	236.0	2010.0	2010.0	쌍용남산플래티넘	81	11140120131232
11710-6299	송파파인타운2단지	송파구	MIXED	8.0	9.0	-1.0	374.0	2008.0	2008.0	송파파인타운2단지	137	11710120102448
11710-6241	송파파인타운3단지	송파구	MIXED	9.0	10.0	-1.0	625.0	2008.0	2008.0	송파파인타운3단지	515	11710120097594
11710-5899	더샵스타리버	송파구	LOW	1.0	2.0	-1.0	189.0	2006.0	2006.0	더샾스타리버	87	11710120056196
11710-5589	롯데캐슬골드	송파구	LOW	1.0	2.0	-1.0	400.0	2005.0	2005.0	롯데캐슬골드	214	11710120008813
11710-44	가락우성2	송파구	NAME	1.0	2.0	-1.0	162.0	2000.0	2000.0	가락우성2	80	11710100002242
11710-42	가락쌍용(2차)	송파구	LOW	4.0	5.0	-1.0	492.0	1999.0	1999.0	가락쌍용(2차)	252	11710100002240
11710-31	2차한양아파트	송파구	HIGH	9.0	10.0	-1.0	744.0	1984.0	1984.0	2차한양아파트	345	11710100002229
11710-30	한양아파트	송파구	MIXED	5.0	6.0	-1.0	576.0	1983.0	1983.0	한양아파트	341	11710100002228
11230-19	동답한신	동대문구	LOW	3.0	4.0	-1.0	600.0	1992.0	1992.0	동답한신	288	11230100000166
11215-70	한라아파트	광진구	LOW	1.0	2.0	-1.0	329.0	1996.0	1996.0	한라아파트	187	11215100003443
11215-40	서원힐탑	광진구	LOW	1.0	2.0	-1.0	56.0	1994.0	1994.0	서원힐탑	15	11215100003413
11215-2430	이튼타워리버1차	광진구	LOW	1.0	2.0	-1.0	146.0	2006.0	2006.0	이튼타워리버1차	61	11215120033879
11215-2429	이튼타워리버2차	광진구	LOW	1.0	2.0	-1.0	131.0	2006.0	2006.0	이튼타워리버2차	56	11215120033878
11215-16	현대3	광진구	HIGH	9.0	10.0	-1.0	1056.0	1990.0	1990.0	현대3	766	11215100003389
11200-82	서울숲리버그린동아아파트	성동구	MIXED	4.0	5.0	-1.0	375.0	2003.0	2003.0	서울숲리버그린동아	231	11200100051209
11200-74	건영	성동구	LOW	2.0	3.0	-1.0	447.0	2000.0	2000.0	건영	231	11200100000285
11200-61	서울숲성수현대	성동구	LOW	2.0	3.0	-1.0	217.0	1990.0	1990.0	서울숲성수현대	135	11200100000272
11200-49	강변건영아파트	성동구	MIXED	5.0	6.0	-1.0	580.0	2002.0	2002.0	강변건영아파트	350	11200100000260
11200-37	롯데	성동구	LOW	2.0	3.0	-1.0	249.0	2003.0	2003.0	롯데	143	11200100000247
11200-3031	서울숲더샵	성동구	NAME	2.0	3.0	-1.0	495.0	2014.0	2014.0	서울숲더샵	262	11200120299625
11200-2938	금호자이1차	성동구	NAME	3.0	4.0	-1.0	401.0	2012.0	2012.0	금호자이1차	354	11200120149819
11200-2914	서울숲행당푸르지오	성동구	MIXED	8.0	9.0	-1.0	457.0	2011.0	2011.0	서울숲행당푸르지오	303	11200120138001
11290-100	샹그레빌아파트	성북구	HIGH	2.0	3.0	-1.0	297.0	2004.0	2004.0	샹그레빌아파트	142	11290100053508
11260-91	성원	중랑구	MIXED	4.0	5.0	-1.0	876.0	1994.0	1994.0	성원	405	11260100002467
11260-54	신내두산아파트	중랑구	MIXED	14.0	15.0	-1.0	622.0	1995.0	1995.0	신내두산아파트	218	11260100002430
11260-2353	동양엔파트	중랑구	HIGH	1.0	2.0	-1.0	103.0	2010.0	2010.0	동양엔파트	56	11260120129278
11260-136	신성미소지움	중랑구	NAME	1.0	2.0	-1.0	161.0	2004.0	2004.0	신성미소지움	39	11260100248421
11230-62	쌍용	동대문구	MIXED	14.0	15.0	-1.0	1318.0	2000.0	2000.0	쌍용	697	11230100000209
11230-20	동서울한양	동대문구	LOW	2.0	3.0	-1.0	499.0	1989.0	1989.0	동서울한양	388	11230100000167
11710-3	극동	송파구	HIGH	3.0	4.0	-1.0	415.0	1987.0	1987.0	극동	295	11710100002201
11710-12	쌍용	송파구	MIXED	2.0	3.0	-1.0	417.0	1994.0	1994.0	쌍용	259	11710100002210
11680-62	진흥아파트	강남구	MIXED	3.0	4.0	-1.0	375.0	1984.0	1984.0	진흥아파트	150	11680100001222
11680-5291	도곡월드메르디앙아파트	강남구	LOW	1.0	2.0	-1.0	48.0	2023.0	2023.0	도곡월드메르디앙아파트	19	11680120451887
11680-428	현대14차(203,204,205,206동)	강남구	NAME	3.0	4.0	-1.0	388.0	1987.0	1987.0	현대14차(203,204,205,206동)	229	11680100051427
11680-421	현대7차(73~77,82,85동)	강남구	NAME	6.0	7.0	-1.0	560.0	1979.0	1979.0	현대7차(73~77,82,85동)	194	11680100051420
11680-379	한양2	강남구	NAME	4.0	5.0	-1.0	296.0	1978.0	1978.0	한양2	84	11680100050364
11680-3739	롯데캐슬리베	강남구	NAME	1.0	2.0	-1.0	144.0	2008.0	2008.0	롯데캐슬리베	54	11680120066780
11305-5	현대성우	강북구	NAME	1.0	2.0	-1.0	216.0	1998.0	1998.0	현대성우	57	11305100003333
11305-4064	수유역두산위브1	강북구	LOW	1.0	2.0	-1.0	193.0	2009.0	2009.0	수유역두산위브1	56	11305120120808
11290-48	정릉우성아파트 101~105동	성북구	MIXED	4.0	5.0	-1.0	823.0	2000.0	2000.0	정릉우성아파트101동102동103동104동105동	315	11290100000336
11290-4786	래미안길음센터피스	성북구	MIXED	23.0	24.0	-1.0	2352.0	2019.0	2019.0	래미안길음센터피스	1809	11290120384680
11290-4544	돈암코오롱하늘채	성북구	HIGH	8.0	9.0	-1.0	522.0	2016.0	2016.0	돈암코오롱하늘채	282	11290120350159
11290-3980	돈암동해피트리	성북구	LOW	5.0	6.0	-1.0	192.0	2013.0	2013.0	돈암동해피트리	111	11290120171702
11290-3572	월곡래미안루나밸리	성북구	HIGH	10.0	11.0	-1.0	787.0	2007.0	2007.0	월곡래미안루나밸리	472	11290120073220
11680-3628	블루밍하우스	강남구	NAME	1.0	2.0	-1.0	26.0	2006.0	2006.0	블루밍하우스	16	11680120027298
11680-3622	e-편한세상	강남구	NAME	11.0	12.0	-1.0	840.0	2005.0	2005.0	e-편한세상	564	11680120027091
11680-322	대림	강남구	LOW	1.0	2.0	-1.0	197.0	1992.0	1992.0	대림	100	11680100001487
11680-320	경남	강남구	LOW	3.0	4.0	-1.0	348.0	2005.0	2005.0	경남	248	11680100001485
11680-310	개포한신	강남구	NAME	3.0	4.0	-1.0	364.0	1984.0	1984.0	개포한신	224	11680100001475
11650-601	현대ESA2	서초구	LOW	1.0	2.0	-1.0	174.0	2003.0	2003.0	현대ESA2	51	11650100053291
11650-512	방배자이	서초구	NAME	2.0	3.0	-1.0	136.0	2003.0	2003.0	방배자이	37	11650100051026
