aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11530-3689	양지쉐르빌아파트	구로구	LOW	184575422	107	107	16.0	42.0	38.11418050285575	nearest
11530-50	그랜드	구로구	LOW	249977113	고척동그랜드아파트 (Gochuk-dong Grand Apt.)	고척동그랜드아파트(GOCHUK-DONGGRANDAPT.)	12.0	33.599999999999994	32.04819325761163	nearest
11530-66	한성	구로구	HIGH	249977123	A	A	20.0	56.0	54.56069134171747	boundary
11530-188	오류그린	구로구	LOW	250081937	203	203	20.0	54.0	242.8045518178835	nearest
11470-361	벽산블루밍2단지	양천구	LOW	250088370	106	106	19.0	51.0	210.4864936583852	nearest
11530-82	신개봉삼환	구로구	LOW	250092786	신개봉삼환아파트	신개봉삼환아파트	19.0	53.0	46.449439564320485	nearest
11530-88	청실	구로구	HIGH	250092788	1	1	15.0	42.0	2.57595632320325	boundary
11470-119	목동신시가지10	양천구	LOW	250100747	1104동	1104	12.0	33.599999999999994	349.5684271480419	nearest
11470-119	목동신시가지10	양천구	LOW	250100748	1110동	1110	15.0	42.0	363.3153354591422	nearest
11470-119	목동신시가지10	양천구	LOW	250100749	1109동	1109	15.0	42.0	304.34876422783594	nearest
11470-119	목동신시가지10	양천구	LOW	250100750	1108동	1108	15.0	42.0	243.0311666368082	nearest
11470-119	목동신시가지10	양천구	LOW	250100751	1105동	1105	12.0	33.599999999999994	294.5024704809528	nearest
11470-119	목동신시가지10	양천구	LOW	250100752	1106동	1106	12.0	33.599999999999994	242.12880372930584	nearest
11470-119	목동신시가지10	양천구	LOW	250100753	1107동	1107	15.0	42.0	192.82242780091116	nearest
11530-85	우성	구로구	HIGH	250296131	1	1	13.0	36.0	2.2593636039699434	boundary
11530-4593	고척아이파크(아파트)	구로구	LOW	250306436	1	1	13.0	36.4	71.45858225163235	nearest
11530-91	현대	구로구	LOW	252227175	19	19	25.0	70.0	118.4498702957496	nearest
11530-97	신세기	구로구	LOW	252227216	102	102	28.0	78.0	111.9475293288946	nearest
11530-179	해피그린(171-24)	구로구	HIGH	252575091	102	102			8.62361310131902	boundary
11530-65	하이리빙	구로구	LOW	252575094	하이리빙아파트 (HiLiving Apt.)	하이리빙아파트(HILIVINGAPT.)	13.0	36.4	1.8362475119405015	nearest
11530-184	비젼	구로구	LOW	252616582	B	B			132.74174672180126	nearest
11530-183	천신하이츠	구로구	LOW	252616583	A	A			174.5218513406611	nearest
11530-86	진로	구로구	LOW	252616585	A	A	11.0	30.0	1.5820520093946873	nearest
11530-182	중앙힐	구로구	LOW	252616586	B	B			146.3620807989708	nearest
11530-70	거성	구로구	LOW	252616588	나	나			77.89451507459536	nearest
11530-70	거성	구로구	LOW	252616589	가	가			68.04260706683478	nearest
11530-90	한진	구로구	LOW	252616600	3	3		74.5	209.49709109516724	nearest
11530-90	한진	구로구	LOW	252616602	2	2		74.5	190.35026939426837	nearest
11530-90	한진	구로구	LOW	252616603	1	1		74.5	178.48593412132578	nearest
11530-3402	아이에스빌리브	구로구	HIGH	252910504	117	117	12.0	33.0	44.7639738946184	boundary
11530-115	영풍마드레빌	구로구	LOW	252910544	4	4		59.0	139.14953244261503	nearest
11530-115	영풍마드레빌	구로구	LOW	252910545	3	3		59.0	155.3927077932781	nearest
11530-115	영풍마드레빌	구로구	LOW	252910546	1	1		59.0	157.85806650780592	nearest
11530-100	동보	구로구	LOW	252914825	102	102			69.32650972161677	nearest
