aptSeq	floor_band	n_obs	repr_floor	obs_height	winter_sunlight_hours	winter_continuous_hours	winter_total_hours_8_16	sun_hours_spring	open_span_max	view_block_pct	open_angle_mean	assign_confidence
11110-102	HIGH	1	8.0	21.1	6.08	6.08	7.75	8.08	290.0	12.5	108.8	NAME
11110-102	LOW	1	2.0	4.3	6.08	6.08	7.42	8.08	240.0	27.8	105.0	NAME
11110-102	MID	1	5.0	12.7	6.08	6.08	7.58	8.08	240.0	25.0	106.3	NAME
11110-105	HIGH	1	5.0	12.7	0.67	0.33	0.92	4.58	115.0	68.1	73.5	LEVEL_MISMATCH
11110-105	LOW	1	2.0	4.3	0.33	0.33	0.33	3.75	115.0	68.1	67.9	LEVEL_MISMATCH
11110-105	MID	1	3.0	7.1	0.33	0.33	0.33	3.83	115.0	68.1	69.5	LEVEL_MISMATCH
11110-107	HIGH	3	14.0	37.9	5.75	5.75	6.75	7.25	120.0	56.9	100.6	LOW
11110-107	LOW	3	3.0	7.1	2.83	2.83	3.83	5.25	90.0	68.1	71.5	LOW
11110-107	MID	3	8.0	21.1	2.83	2.83	3.83	5.5	105.0	62.5	79.7	LOW
11110-112	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	155.6	LOW
11110-112	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	146.6	LOW
11110-112	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	146.7	LOW
11110-115	HIGH	1	14.0	37.9	6.08	6.08	7.5	8.08	85.0	43.1	96.0	NAME
11110-115	LOW	1	3.0	7.1	3.83	3.83	4.83	7.42	70.0	62.5	79.1	NAME
11110-115	MID	1	8.0	21.1	3.83	3.83	4.83	7.83	70.0	62.5	85.0	NAME
11110-116	HIGH	1	14.0	37.9	5.67	5.67	6.67	7.75	90.0	38.9	94.7	NAME
11110-116	LOW	1	3.0	7.1	2.5	1.25	3.5	6.25	75.0	65.3	76.3	NAME
11110-116	MID	1	8.0	21.1	4.92	4.92	5.92	6.83	75.0	62.5	82.8	NAME
11110-117	HIGH	1	14.0	37.9	6.08	6.08	7.17	8.08	190.0	33.3	83.8	NAME
11110-117	LOW	1	3.0	7.1	5.25	5.25	6.25	8.08	120.0	63.9	73.6	NAME
