apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11110-102	HIGH			7.75		12.5	108.8				
11110-102	LOW			7.42		27.8	105.0				
11110-102	MID			7.58		25.0	106.3				
11110-105	HIGH			0.92		68.1	73.5				
11110-105	LOW			0.33		68.1	67.9				
11110-105	MID			0.33		68.1	69.5				
11110-107	HIGH			6.75		56.9	100.6				
11110-107	LOW			3.83		68.1	71.5				
11110-107	MID			3.83		62.5	79.7				
11110-112	HIGH			8.08		0.0	155.6				
11110-112	LOW			8.08		0.0	146.6				
11110-112	MID			8.08		0.0	146.7				
11110-115	HIGH			7.5		43.1	96.0				
11110-115	LOW			4.83		62.5	79.1				
11110-115	MID			4.83		62.5	85.0				
11110-116	HIGH			6.67		38.9	94.7				
11110-116	LOW			3.5		65.3	76.3				
11110-116	MID			5.92		62.5	82.8				
11110-117	HIGH			7.17		33.3	83.8				
11110-117	LOW			6.25		63.9	73.6				
11110-117	MID			6.83		58.3	77.5				
11110-118	HIGH			1.5		45.8	97.3				
11110-118	LOW			1.5		56.9	92.2				
11110-118	MID			1.5		54.2	94.1				
11110-12	HIGH			2.25		68.1	75.4				
11110-12	LOW			0.75		84.7	64.6				
11110-12	MID			1.33		84.7	69.7				
11110-13	HIGH			6.33		65.3	76.8				
11110-13	LOW			0.33		81.9	69.6				
11110-13	MID			2.58		80.6	72.7				
11110-135	HIGH			7.25		22.2	88.2				
11110-135	LOW			7.0		25.0	84.6				
11110-135	MID			7.17		23.6	85.7				
11110-136	HIGH			7.33		23.6	85.3				
11110-136	LOW			6.83		30.6	82.4				
11110-136	MID			7.08		27.8	83.8				
11110-137	HIGH			7.0		20.8	85.6				
11110-137	LOW			6.75		23.6	84.1				
11110-137	MID			6.83		23.6	84.6				
11110-146	HIGH			8.08		1.4	171.9				
11110-146	LOW			8.08		4.2	171.7				
11110-146	MID			8.08		2.8	171.8				
11110-15	HIGH			1.5		62.5	73.1				
11110-15	LOW			1.5		77.8	62.8				
11110-15	MID			1.5		76.4	67.2				
11110-151	HIGH			8.08		0.0	176.1				
