ykiho	name	class_cd	class_nm	sggu_nm	emdong_nm	addr	lon	lat	estb_day	doctor_total	telno	is_pediatric
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz	강북삼성병원	01	상급종합	종로구	평동	서울특별시 종로구 새문안로 29, (평동)	126.96775	37.5684083	19790324	394	02-2001-2001	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz	건국대학교병원	01	상급종합	광진구	화양동	서울특별시 광진구 능동로 120-1, (화양동)	127.0718276	37.5403764	19821116	397	1588-1533	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz	경희대학교병원	01	상급종합	동대문구	회기동	서울특별시 동대문구 경희대로 23, (회기동)	127.051852	37.5941195	19711005	430	02-958-8114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz	고려대학교의과대학부속구로병원	01	상급종합	구로구	구로동	서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)	126.8848701	37.492052	19830831	524	02-2626-1114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz	삼성서울병원	01	상급종합	강남구	일원동	서울특별시 강남구 일원로 81, (일원동, 삼성의료원)	127.0851508	37.4882977	19940613	1320	02-3410-2114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz	서울대학교병원	01	상급종합	종로구	연건동	서울특별시 종로구 대학로 101, (연건동)	126.9990168	37.5797151	19810709	1482	1588-5700	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz	연세대학교의과대학 강남세브란스병원	01	상급종합	강남구	도곡동	서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)	127.0462683	37.4929296	19830404	512	02-2019-3114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz	연세대학교의과대학세브란스병원	01	상급종합	서대문구	신촌동	서울특별시 서대문구 연세로 50-1, (신촌동)	126.9408265	37.5623446	19740325	1277	02-2228-0114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz	이화여자대학교의과대학부속목동병원	01	상급종합	양천구	목동	서울특별시 양천구 안양천로 1071, (목동)	126.8862043	37.536602	19930730	400	02-2650-5114	False
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz	재단법인아산사회복지재단 서울아산병원	01	상급종합	송파구	풍납동	서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)	127.107935	37.5265762	19890520	1585	02-3010-3114	False
