aptSeq	floor_band	river_view	park_view	mountain_view	open_span_max
11530-90	LOW	False	True	True	130.0
11530-90	MID	False	True	True	160.0
11530-90	HIGH	False	True	True	165.0
11530-3141	LOW	False	True	True	130.0
11530-3141	MID	False	True	True	205.0
11530-3141	HIGH	False	True	True	252.5
11530-75	LOW	False	True	True	162.5
11530-75	MID	False	True	True	202.5
11530-75	HIGH	False	True	True	205.0
11530-94	LOW	False	True	True	25.0
11530-94	MID	False	True	True	35.0
11530-94	HIGH	False	True	True	35.0
11530-3391	LOW	False	True	True	107.5
11530-3391	MID	False	True	True	112.5
11530-3391	HIGH	False	True	True	292.5
11530-99	LOW	False	True	True	302.5
11530-99	MID	False	True	True	302.5
11530-99	HIGH	False	True	True	312.5
11530-105	LOW	False	True	True	92.5
11530-105	MID	False	True		115.0
11530-105	HIGH	False	True		257.5
11530-153	LOW	False	True	True	360.0
11530-153	MID	False	True	True	360.0
11530-153	HIGH	False	True	True	360.0
11530-3327	LOW	False	True	True	360.0
11530-3327	MID	False	True	True	360.0
11530-3327	HIGH	False	True	True	360.0
11530-669	LOW	False	True	True	360.0
11530-669	MID	False	True	True	360.0
11530-669	HIGH	False	True	True	360.0
11530-115	LOW	False	True	True	42.5
11530-115	MID	False	True	True	72.5
11530-115	HIGH	False	True	True	175.0
11530-50	LOW	False	True		345.0
11530-50	MID	False	True		350.0
11530-50	HIGH	False	True		360.0
11530-66	LOW	False	True	True	140.0
11530-66	MID	False	True		145.0
11530-66	HIGH	False	True		145.0
11530-54	LOW	False	False		95.0
11530-54	MID	False	False		152.5
11530-54	HIGH	False	True		215.0
11530-55	LOW	False	True	True	132.5
11530-55	MID	False	True		132.5
11530-55	HIGH	False	True		192.5
11530-3134	LOW	False	True		120.0
11530-3134	MID	False	True		125.0
11530-3134	HIGH	False	True		230.0
11530-3373	LOW	False	True		70.0
11530-3373	MID	False	True		145.0
11530-3373	HIGH	False	True		220.0
11530-3437	LOW	False	True		62.5
11530-3437	MID	False	True		72.5
11530-3437	HIGH	False	True		345.0
11530-49	LOW	False	True		65.0
11530-49	MID	False	True		85.0
11530-49	HIGH	False	True		145.0
11530-60	LOW	False	True		195.0
11530-60	MID	False	True		205.0
11530-60	HIGH	False	True		270.0
11530-180	LOW	False	True		55.0
11530-180	MID	False	True		60.0
11530-180	HIGH	False	True		60.0
11530-4594	LOW	False	True		90.0
11530-4594	MID	False	True		125.0
11530-4594	HIGH	False	True		167.5
11530-71	LOW	False	True		150.0
11530-71	MID	False	True		150.0
11530-71	HIGH	False	True		200.0
11530-72	LOW	False	True		90.0
11530-72	MID	False	True		150.0
11530-72	HIGH	False	True		190.0
11530-102	LOW	False	True	True	120.0
11530-102	MID	False	True		120.0
11530-102	HIGH	False	True		170.0
11530-188	LOW	False	True	True	195.0
11530-188	MID	False	True	True	195.0
11530-188	HIGH	False	True	True	195.0
11530-3225	LOW	False	True	True	115.0
11530-3225	MID	False	True		137.5
11530-3225	HIGH	False	True		255.0
11530-114	LOW	False	False		70.0
11530-114	MID	False	False		120.0
11530-114	HIGH	False	False		280.0
11530-3757	LOW	False	True	True	85.0
11530-3757	MID	False	True	True	110.0
11530-3757	HIGH	False	True	True	200.0
11470-83	LOW	False	True		132.5
11470-83	MID	False	True		140.0
11470-83	HIGH	False	True		350.0
11470-4576	LOW	False	True	True	92.5
11470-4576	MID	False	True	True	102.5
11470-4576	HIGH	False	True	True	302.5
11530-91	LOW	False	True	True	35.0
11530-91	MID	False	True	True	45.0
11530-91	HIGH	False	True	True	120.0
11530-5664	LOW	False	True		5.0
11530-5664	MID	False	True		25.0
11530-5664	HIGH	False	True		75.0
11530-3213	LOW	False	True	True	130.0
11530-3213	MID	False	True	True	140.0
11530-3213	HIGH	False	True	True	150.0
11530-79	LOW	False	True		55.0
11530-79	MID	False	True		90.0
11530-79	HIGH	False	True		177.5
11530-80	LOW	False	True	True	57.5
11530-80	MID	False	True	True	65.0
11530-80	HIGH	False	True	True	167.5
11470-119	LOW	False	True		35.0
11470-119	MID	False	True		62.5
11470-119	HIGH	False	True		317.5
11470-146	LOW	False	True		75.0
11470-146	MID	False	True		80.0
11470-146	HIGH	False	True		90.0
11470-4600	LOW	False	True	True	45.0
11470-4600	MID	False	True	True	95.0
11470-4600	HIGH	False	True		197.5
11530-77	LOW	False	True	True	202.5
11530-77	MID	False	True	True	202.5
11530-77	HIGH	False	True		287.5
11530-167	LOW	False	True		175.0
11530-167	MID	False	True		175.0
11530-167	HIGH	False	True		175.0
11530-178	LOW	False	True		75.0
11530-178	MID	False	True		75.0
11530-178	HIGH	False	True		75.0
11530-65	LOW	False	True		65.0
11530-65	MID	False	True		180.0
11530-65	HIGH	False	True		205.0
11530-64	LOW	False	True		27.5
11530-64	MID	False	True		140.0
11530-64	HIGH	False	True		295.0
11530-152	LOW	False	True	True	95.0
11530-152	MID	False	True	True	155.0
11530-152	HIGH	False	True	True	255.0
11530-184	LOW	False	True	True	275.0
11530-184	MID	False	True	True	275.0
