model	term	coefficient_log_price	cluster_robust_se	coefficient_ci95_low	coefficient_ci95_high	p_value	price_change_pct_per_unit	price_change_pct_ci95_low	price_change_pct_ci95_high	physical_feature	interpretation
F_M3_all_physical (train only)	const	-8.1408123	1.7117899	-11.49592	-4.785704	1.9772967e-06	-99.97086	-99.998983	-99.165176	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_area_m2	-0.01864728	0.019532061	-0.05693012	0.019635561	0.33972889	-1.8474495	-5.533992	1.9829606	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	built_year	0.007738628	0.00084745798	0.0060776104	0.0093996457	6.7508454e-20	0.77686486	0.60961165	0.94439611	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_built_year	0.70715436	0.081923173	0.54658494	0.86772378	6.0330032e-18	102.82115	72.734395	138.14839	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_total_households	0.11773054	0.0097015384	0.09871552	0.13674555	6.8704903e-34	12.494094	10.375226	14.653638	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_log_total_households	0.032718454	0.074326988	-0.11296244	0.17839935	0.65979505	3.3259588	-10.681579	19.530257	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_station_dist_m	-0.073549662	0.014479068	-0.10192863	-0.045170689	3.779845e-07	-7.0909996	-9.6906001	-4.4165682	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_station_ridership_daily	-0.0324008	0.016664819	-0.065063846	0.00026224551	0.051863681	-3.1881518	-6.2992362	0.02622799	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_log_station_ridership_daily	-0.077709091	0.024935293	-0.12658226	-0.028835917	0.0018305523	-7.4766454	-11.889834	-2.8424129	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_elem_school_m	-0.006967947	0.016234982	-0.038788512	0.024852618	0.66778249	-0.69437271	-3.804587	2.5164018	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_mid_school_m	-0.018652939	0.015092869	-0.048234961	0.010929084	0.21650405	-1.8480049	-4.7090136	1.0989024	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_general_hosp_m	0.057567901	0.014478188	0.029190652	0.085945149	7.0030746e-05	5.9257193	2.9620875	8.9746553	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_park_m	-0.023982197	0.0096239998	-0.042845237	-0.0051191575	0.012705616	-2.3696909	-4.1940349	-0.51060769	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_park_area_m2	0.0084313851	0.0043884187	-0.00016991547	0.017032686	0.0546963	0.84670294	-0.016990104	1.7178569	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	cvs_500m	-0.0021435505	0.0017550509	-0.0055834503	0.0012963493	0.22194942	-0.21412547	-0.55678918	0.12971899	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	restaurant_500m	0.0004799767	0.00010687198	0.00027050762	0.00068944578	7.0843957e-06	0.048009191	0.027054421	0.068968351	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	nightlife_300m	-0.0024090514	0.0014998338	-0.0053487257	0.00053062288	0.10822729	-0.2406152	-0.53344468	0.053076369	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_dept_store_m	-0.08455341	0.013488091	-0.11099007	-0.058116753	3.639679e-10	-8.1077426	-10.505236	-5.646022	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_mart_m	0.010984572	0.011934258	-0.012406575	0.034375718	0.35735151	1.1045123	-1.2329931	3.4973392	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_road_arterial_dist_m	-0.068090485	0.010974016	-0.089599556	-0.046581414	5.4801044e-10	-6.5824059	-8.5702763	-4.5513151	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	log_rail_centerline_m	0.097939479	0.0077294956	0.082789668	0.11308929	8.5751507e-37	10.289604	8.6313298	11.973191	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	far	-0.00047594581	8.612181e-05	-0.00064474456	-0.00030714706	3.2681999e-08	-0.047583256	-0.064453675	-0.03070999	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_far	0.17251608	0.11700953	-0.056822588	0.40185476	0.14038028	18.829093	-5.5238333	49.459423	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
