# 서비스 가격 셀 route OOT metrics
# 주 검증은 ROLLING_1M이며, complex_equal_MAPE_pct는 단지 내 월별 APE 평균 뒤 단지를 동일가중합니다.
# CELL_LAST/AREA_LAST/COMPLEX_MEAN만 MAPE denominator에 포함하며 MODEL_REQUIRED/NO_CELL_CANDIDATE는 route coverage에 포함합니다.
# complex block bootstrap: 200회, seed=20260914; MAPE에는 사후 cutoff를 적용하지 않았습니다.
evaluation_mode	origin_ym	route	household_bin	n_target_rows	n_target_complexes	n_scored_rows	n_scored_complexes	route_share_pct	prediction_coverage_pct	transaction_weighted_MAPE_pct	complex_equal_MAPE_pct	MAE_manwon_per_m2	complex_bootstrap_ci95_low	complex_bootstrap_ci95_high	small_n_status
ROLLING_1M	2026-02	ALL	ALL	5515	2275	5279	2118	100	95.7207615593835	7.59298383168144	8.16428964950704	118.195561849043	7.82894392057136	8.46617720642304	OK
ROLLING_1M	2026-02	CELL_LAST	ALL	4974	1968	4974	1968	90.1903898458749	100	7.48936254524991	8.07710650053776	118.989064984943	7.76694492985483	8.39789488206888	OK
ROLLING_1M	2026-02	AREA_LAST	ALL	269	240	269	240	4.87760652765186	100	8.38050061990697	8.48455019083323	99.2500320491316	7.56032124812755	9.63091583402465	OK
ROLLING_1M	2026-02	COMPLEX_MEAN	ALL	36	31	36	31	0.652765185856754	100	16.0254911282852	15.9972477120607	150.125087354888	12.3769172548437	20.1257764454137	LOW_N
ROLLING_1M	2026-02	MODEL_REQUIRED	ALL	123	95	0	0	2.23028105167724	0						LOW_N
ROLLING_1M	2026-02	NO_CELL_CANDIDATE	ALL	113	90	0	0	2.04895738893926	0						LOW_N
ROLLING_1M	2026-02	ALL	<=20	150	142	57	52	100	38	8.40928102888611	8.26255262832748	79.3961411557256	5.72054415239645	10.8419296012481	OK
ROLLING_1M	2026-02	CELL_LAST	<=20	45	41	45	41	30	100	6.67139915173575	6.34348613726526	60.4277606696104	4.97352888075312	8.24020097768465	LOW_N
ROLLING_1M	2026-02	AREA_LAST	<=20	7	7	7	7	4.66666666666667	100	11.8893127690786	11.8893127690786	142.833203368931			SUPPRESSED
ROLLING_1M	2026-02	COMPLEX_MEAN	<=20	5	4	5	4	3.33333333333333	100	19.1781734869698	21.5861539154008	161.299678432274			SUPPRESSED
ROLLING_1M	2026-02	MODEL_REQUIRED	<=20	70	68	0	0	46.6666666666667	0						LOW_N
ROLLING_1M	2026-02	NO_CELL_CANDIDATE	<=20	23	23	0	0	15.3333333333333	0						SUPPRESSED
ROLLING_1M	2026-02	ALL	21~100	425	342	374	298	100	88	7.22550917400905	7.29845392755478	85.9946270942987	6.47313970684844	8.18829131020285	OK
ROLLING_1M	2026-02	CELL_LAST	21~100	280	232	280	232	65.8823529411765	100	6.92803710600605	7.14975596181824	84.9353652010886	6.17598088090995	8.08094575461322	OK
ROLLING_1M	2026-02	AREA_LAST	21~100	85	78	85	78	20	100	8.11385038486162	8.22590657544406	88.9940039068153	6.24097119976781	10.527554158544	LOW_N
ROLLING_1M	2026-02	COMPLEX_MEAN	21~100	9	9	9	9	2.11764705882353	100	8.09030652049501	8.09030652049501	90.6219938759548			SUPPRESSED
ROLLING_1M	2026-02	MODEL_REQUIRED	21~100	22	22	0	0	5.17647058823529	0						SUPPRESSED
ROLLING_1M	2026-02	NO_CELL_CANDIDATE	21~100	29	27	0	0	6.82352941176471	0						SUPPRESSED
ROLLING_1M	2026-02	ALL	101+	4870	1772	4808	1753	100	98.7268993839836	7.60732526207515	8.29729899152826	120.327057356627	7.9425323418892	8.61454345713936	OK
ROLLING_1M	2026-02	CELL_LAST	101+	4614	1681	4614	1681	94.7433264887064	100	7.52653423140104	8.23824281809994	120.76471150967	7.91052674835356	8.6327269779735	OK
