aptSeq	redevelop_type	redevelop_stage	redevelop_zone_name	redevelop_matched	redevelop_match_method
11170-131	아파트지구재건축	사업시행	신동아아파트	True	jibun_exact
11170-14	아파트지구재건축	사업시행	산호아파트	True	jibun_exact
11170-49	아파트지구재건축	사업시행	한강삼익아파트	True	jibun_exact
11170-53	아파트지구재건축	조합설립	왕궁아파트	True	jibun_exact
11170-60	공동주택재건축	추진위	중산시범아파트	True	jibun_exact
11170-68	아파트지구재건축	관리처분	한강맨션아파트	True	jibun_exact
11170-77	공동주택재건축	추진위	청화아파트	True	jibun_exact
11200-13	공동주택재건축	조합설립	마장세림아파트	True	jibun_exact
11200-45	공동주택재건축	사업시행	한남하이츠	True	jibun_exact
11200-58	공동주택재건축	착공	장미아파트	True	jibun_exact
11215-100	공동주택재건축	건축심의	중곡아파트	True	jibun_exact
11215-3	공동주택재건축	구역지정	극동아파트	True	jibun_exact
11215-4	공동주택재건축	구역지정	극동아파트	True	jibun_exact
11215-72	공동주택재건축	추진위	자양한양아파트	True	jibun_exact
11230-3	공동주택재건축	착공	제기1(경동미주아파트)	True	jibun_exact
11230-36	공동주택재건축	관리처분	장안현대	True	jibun_exact
11230-43	공동주택재건축	조합설립	청량리미주아파트	True	jibun_exact
11290-32	단독주택재건축	조합설립	안암1	True	jibun_exact
11320-10	주택정비형 재개발	조합설립	쌍문3	True	jibun_exact
11320-20	공동주택재건축	조합설립	쌍문한양1차아파트	True	jibun_exact
11320-59	공동주택재건축	조합설립	창동상아1차아파트	True	jibun_exact
11320-80	공동주택재건축	조합설립	삼환도봉아파트	True	jibun_exact
11350-137	공동주택재건축	관리처분	월계동신아파트	True	jibun_exact
11350-178	공동주택재건축	구역지정	태릉우성아파트	True	jibun_exact
11350-39	공동주택재건축	사업시행	상계주공5단지	True	jibun_exact
11410-5996	주택정비형 재개발	조합설립	연희2	True	jibun_exact
11440-109	공동주택재건축	조합설립	성산시영아파트	True	jibun_exact
11440-168	공동주택재건축	조합설립	성산시영아파트	True	jibun_exact
11440-169	공동주택재건축	조합설립	성산시영아파트	True	jibun_exact
11440-18	도시정비형 재개발	사업시행	마포로1-10	True	jibun_exact
11440-3	도시정비형 재개발	착공	마포로3-3	True	jibun_exact
11470-119	공동주택재건축	조합설립	목동10단지	True	jibun_exact
11470-120	공동주택재건축	조합설립	목동11단지	True	jibun_exact
11470-121	공동주택재건축	조합설립	목동12단지	True	jibun_exact
11470-122	공동주택재건축	조합설립	목동13단지	True	jibun_exact
11470-124	공동주택재건축	조합설립	목동8단지	True	jibun_exact
11470-125	공동주택재건축	조합설립	목동9단지	True	jibun_exact
11470-135	공동주택재건축	관리처분	수정아파트	True	jibun_exact
11470-17	공동주택재건축	조합설립	목동1단지	True	jibun_exact
11470-18	공동주택재건축	조합설립	목동2단지	True	jibun_exact
11470-19	공동주택재건축	추진위	목동3단지	True	jibun_exact
11470-20	공동주택재건축	조합설립	목동4단지	True	jibun_exact
11470-21	공동주택재건축	조합설립	목동5단지	True	jibun_exact
11470-22	공동주택재건축	건축심의	목동6단지	True	jibun_exact
11470-23	공동주택재건축	추진위	목동7단지	True	jibun_exact
11470-83	공동주택재건축	조합설립	신월시영	True	jibun_exact
11500-218	단독주택재건축	관리처분	방화3	True	jibun_exact
11500-495	공동주택재건축	추진위	염창동우성1·2차·삼천리아파트	True	jibun_exact
11530-13	공동주택재건축	관리처분	보광아파트	True	jibun_exact
11530-24	공동주택재건축	구역지정	구로우성아파트	True	jibun_exact
11530-53	공동주택재건축	사업시행	고척동산업인아파트	True	jibun_exact
11530-67	공동주택재건축	구역지정	한효아파트	True	jibun_exact
11545-38	공동주택재건축	사업시행	시흥무지개아파트	True	jibun_exact
11545-52	공동주택재건축	착공	시흥동현대아파트	True	jibun_exact
11560-10	아파트지구재건축	관리처분	여의도대교아파트	True	jibun_exact
11560-106	공동주택재건축	건축심의	신길동삼성아파트	True	jibun_exact
11560-110	공동주택재건축	사업시행	신길13	True	jibun_exact
11560-116	공동주택재건축	사업시행	신길동우성2차·우창아파트	True	jibun_exact
11560-117	도시정비형 재개발	추진위	여의대방역세권	True	jibun_exact
11560-12	아파트지구재건축	조합설립	여의도목화아파트	True	jibun_exact
11560-16	아파트지구재건축	조합설립	여의도삼익아파트	True	jibun_exact
11560-18	공동주택재건축	구역지정	여의도수정아파트	True	jibun_exact
11560-20	아파트지구재건축	건축심의	여의도시범아파트	True	jibun_exact
11560-21	아파트지구재건축	조합설립	여의도은하아파트	True	jibun_exact
11560-2107	아파트지구재건축	조합설립	여의도광장아파트38-1번지	True	jibun_exact
11560-22	공동주택재건축	조합설립	여의도장미아파트	True	jibun_exact
11560-26	아파트지구재건축	사업시행	여의도한양아파트	True	jibun_exact
11560-36	공동주택재건축	착공	유원제일1차아파트	True	jibun_exact
11560-45	공동주택재건축	사업시행	유원제일2차아파트	True	jibun_exact
11560-56	공동주택재건축	사업시행	문래동남성아파트	True	jibun_exact
11560-57	공동주택재건축	조합설립	문래동국화아파트	True	jibun_exact
11560-66	공동주택재건축	착공	문래동진주아파트	True	jibun_exact
11560-79	공동주택재건축	건축심의	양평동신동아아파트	True	jibun_exact
11560-8	공동주택재건축	조합설립	여의도공작아파트	True	jibun_exact
11560-9	아파트지구재건축	조합설립	여의도광장아파트28번지	True	jibun_exact
