apt_seq	area_type	deal_ym	n_trades	median_price_per_m2
11110-101	177.0	202404	1	580.1717763494681
11110-101	195.0	202305	1	529.3180533429262
11110-102	27.0	202208	1	1103.202846975089
11110-102	27.0	202404	1	996.44128113879
11110-102	27.0	202411	1	1067.6156583629893
11110-102	27.0	202502	1	1174.377224199288
11110-102	36.0	202310	1	825.9423503325943
11110-102	39.0	202305	1	1052.6315789473686
11110-102	45.0	202111	1	762.6373626373627
11110-102	45.0	202207	1	813.1868131868132
11110-102	45.0	202309	1	989.010989010989
11110-102	45.0	202403	1	920.8731241473398
11110-102	45.0	202404	2	870.817904242188
11110-102	45.0	202406	1	864.0291041382447
11110-102	45.0	202407	1	791.2087912087912
11110-102	45.0	202507	1	932.2419281491588
11110-102	45.0	202605	1	1023.1923601637109
11110-102	48.0	202110	1	707.5471698113207
11110-102	48.0	202203	2	838.7496369106557
11110-102	48.0	202205	1	750.4288164665523
11110-102	48.0	202206	1	782.8594973217964
11110-102	48.0	202207	2	723.6277873070326
11110-102	48.0	202208	2	798.3106716110424
11110-102	48.0	202303	1	819.0394511149228
11110-102	48.0	202304	1	814.7512864493997
11110-102	48.0	202305	1	814.7512864493997
11110-102	48.0	202306	1	857.6329331046312
11110-102	48.0	202307	3	782.8594973217964
11110-102	48.0	202308	1	844.6641944787804
11110-102	48.0	202310	1	896.168108776267
11110-102	48.0	202311	1	846.9125214408233
11110-102	48.0	202401	1	865.2657601977751
11110-102	48.0	202403	2	883.8071693448703
11110-102	48.0	202405	1	836.1921097770154
11110-102	48.0	202406	1	844.6641944787804
11110-102	48.0	202407	2	929.8731360530228
11110-102	48.0	202408	1	906.4688916357643
11110-102	48.0	202411	1	906.4688916357643
11110-102	48.0	202502	2	973.423980222497
11110-102	48.0	202503	1	900.5145797598627
11110-102	48.0	202504	1	906.4688916357643
11110-102	48.0	202505	1	964.8370497427101
11110-102	48.0	202506	1	1025.9579728059332
11110-102	48.0	202508	1	1143.3868974042027
11110-102	48.0	202510	1	1019.7775030902349
11110-102	48.0	202512	1	996.9982847341338
11110-102	48.0	202601	2	993.1465340250936
11110-102	48.0	202603	2	1107.334157395962
11110-102	48.0	202604	2	931.4946700957848
11110-105	54.0	202602	1	739.4622093023256
11110-107	105.0	202405	1	1426.2310879830395
11110-107	105.0	202411	2	1556.3264912787895
11110-107	105.0	202601	1	1599.6916257107064
11110-107	117.0	202405	1	1115.5637045880949
11110-107	117.0	202508	1	1620.3308886235716
11110-107	117.0	202512	1	1577.690602080846
11110-107	117.0	202605	1	1590.4826880436635
11110-107	147.0	202110	1	1219.3469719550196
11110-107	147.0	202205	1	1226.121121799214
11110-107	147.0	202302	1	1263.7475237379604
11110-107	147.0	202303	1	1230.0963575480077
11110-107	147.0	202402	1	1359.3824714802925
11110-107	147.0	202405	1	1469.9905161902182
11110-107	147.0	202508	1	1512.593693024512
11110-107	147.0	202602	1	1720.6340604254165
11110-111	60.0	202111	1	852.95121119072
11110-112	84.0	202603	1	1120.0188634755955
11110-112	123.0	202309	1	836.3397835355855
11110-115	123.0	202110	1	1425.465088185552
11110-115	123.0	202404	2	1429.4918257227991
11110-115	123.0	202501	1	1449.6255134090359
11110-115	141.0	202407	1	1399.3464980821138
11110-115	141.0	202410	1	1406.4497797982667
11110-115	141.0	202501	1	1811.3368376189799
11110-115	174.0	202601	1	1546.8347178458894
11110-116	123.0	202506	1	1656.7855112482741
11110-116	150.0	202201	1	1329.0802764486975
11110-116	150.0	202309	1	1382.2434875066456
11110-116	150.0	202401	1	1288.5906040268455
11110-116	150.0	202406	1	1435.4066985645934
11110-116	150.0	202408	1	1395.5342902711325
11110-116	150.0	202505	1	1528.4423179160021
11110-116	150.0	202608	1	1630.8724832214766
11110-116	174.0	202205	1	1146.376396448009
11110-116	174.0	202304	1	1260.3838441707246
11110-116	174.0	202411	1	1460.89945574334
11110-116	174.0	202505	1	1260.3838441707246
11110-116	174.0	202605	1	1529.6476654253795
11110-117	123.0	202204	1	1489.892888781509
11110-117	123.0	202303	1	1369.0907626640894
11110-117	123.0	202305	1	1393.2511878875735
11110-117	123.0	202307	1	1449.6255134090359
11110-117	123.0	202406	1	1530.1602641539823
11110-117	123.0	202409	1	1530.1602641539823
11110-117	123.0	202411	1	1562.374164451961
11110-117	123.0	202503	2	1791.8982040750584
11110-117	123.0	202504	1	1538.2137392284772
11110-117	147.0	202307	1	1370.2384214853384
11110-117	147.0	202308	1	1473.0063030967387
11110-117	147.0	202409	1	1349.6848451630583
11110-117	150.0	202305	1	1412.7478941433972
11110-117	150.0	202402	1	1422.1158958001065
11110-117	150.0	202408	1	1548.3785220627326
11110-117	150.0	202502	1	1591.8286131193206
11110-117	150.0	202508	1	1671.4200437752868
11110-118	189.0	202503	1	697.588517756319
11110-12	66.0	202511	2	850.9957444497236
11110-12	93.0	202409	1	878.3204798628964
11110-12	93.0	202505	1	931.8766066838047
11110-12	93.0	202604	1	889.031705227078
11110-12	150.0	202306	1	620.2067355785263
11110-121	84.0	202207	1	432.36199952617864
11110-122	60.0	202205	1	813.3489854100285
11110-123	60.0	202303	1	690.9336029659588
11110-124	51.0	202506	1	698.1436642453591
11110-124	57.0	202211	1	603.864734299517
11110-124	57.0	202604	1	672.8778467908902
11110-127	36.0	202304	1	1005.7636887608069
11110-127	75.0	202401	1	759.0584501454641
11110-127	84.0	202206	1	813.5833038556774
11110-128	66.0	202401	1	711.1935683364254
11110-128	84.0	202510	1	770.7814538124037
11110-13	90.0	202111	1	962.1692543188279
11110-13	90.0	202506	1	962.1692543188279
11110-13	93.0	202509	1	632.6352530541012
11110-13	105.0	202503	1	956.9377990430622
11110-13	105.0	202512	1	1113.6493432324387
