apt_seq	area_type	area_type_source	floor_band	jeonse_level	jeonse_per_m2_adj	jeonse_n_trades	jeonse_months_since	is_move_in_period	jeonse_over_sale_ratio_gt1	est_price_per_m2	est_low	est_high	est_confidence
11110-100	60.000000	RENT	UNKNOWN	RENT_CELL	510.876202	1.000000	9.000000	0.000000	False	729.816561	646.753554	928.596257	LOW
11110-101	177.000000	SALE	UNKNOWN	RENT_COMPLEX	777.125486	2.000000	49.000000	0.000000	True	750.572614	665.147288	955.005624	LOW
11110-101	189.000000	RENT	UNKNOWN	RENT_CELL	777.125486	2.000000	49.000000	0.000000	False	807.643644	715.722861	1027.621055	LOW
11110-101	195.000000	SALE	UNKNOWN	RENT_COMPLEX	777.125486	2.000000	49.000000	0.000000	True	750.572614	665.147288	955.005624	LOW
11110-111	60.000000	BOTH	UNKNOWN	RENT_CELL	393.477422	3.000000	3.000000	0.000000	False	574.006919	508.677159	730.348837	LOW
11110-121	60.000000	RENT	UNKNOWN	RENT_CELL	522.030691	1.000000	12.000000	0.000000	False	741.696517	657.281410	943.711949	LOW
11110-121	84.000000	BOTH	UNKNOWN	RENT_COMPLEX	522.030691	1.000000	12.000000	0.000000	False	709.754679	628.974985	903.070132	LOW
11110-122	60.000000	SALE	UNKNOWN	SALE_CELL				0.000000	False	581.062895	514.930070	739.326645	LOW
11110-123	60.000000	BOTH	UNKNOWN	RENT_CELL	524.250430	1.000000	7.000000	0.000000	False	687.242038	609.024588	874.425737	LOW
11110-127	36.000000	SALE	UNKNOWN	RENT_COMPLEX	577.953750	3.000000	8.000000	0.000000	False	705.396407	625.112744	897.524800	LOW
11110-127	54.000000	RENT	UNKNOWN	RENT_CELL	643.485099	2.000000	14.000000	0.000000	False	795.418077	704.888729	1012.065618	LOW
11110-127	75.000000	SALE	UNKNOWN	RENT_COMPLEX	577.953750	3.000000	8.000000	0.000000	False	722.687435	640.435819	919.525375	LOW
11110-127	84.000000	BOTH	UNKNOWN	RENT_CELL	512.422401	1.000000	8.000000	0.000000	False	691.033440	612.384478	879.249801	LOW
11110-129	69.000000	RENT	UNKNOWN	RENT_CELL	665.486057	1.000000	39.000000	0.000000	False	785.178076	695.814179	999.036554	LOW
11110-129	81.000000	RENT	UNKNOWN	RENT_CELL	714.104325	1.000000	25.000000	0.000000	False	805.075717	713.447199	1024.353704	LOW
11110-130	60.000000	RENT	UNKNOWN	RENT_CELL	381.568187	2.000000	12.000000	0.000000	False	558.565444	494.993133	710.701576	LOW
