apt_seq	name	exclude_reason	matched_keyword	sale_5y_n	rent_5y_n	jeonse_share	built_year	total_households	rule
11110-17		NO_SALE_5Y		0	50	0.56	1968.0	149.0	R1
11140-1026	삼성사이버빌리지(임대)	RENTAL_ONLY	임대	0	108	0.16666666666666666	2001.0		
11140-1152	청구e편한세상(임대)	RENTAL_ONLY	임대	0	33	0.2727272727272727	2011.0		
11140-1164	래미안하이베르(임대)	RENTAL_ONLY	임대	0	40	0.55	2011.0		
11140-1276	남산타운(임대)	RENTAL_ONLY	임대	0	239	0.2217573221757322	2002.0	3116.0	
11140-1506		NO_SALE_5Y		0	65	0.27692307692307694	1999.0	1598.0	R1
11170-2318	리버힐삼성아파트(임대)	RENTAL_ONLY	임대	0	57	0.07017543859649122	2001.0		
11170-2328	도원동삼성래미안(임대)	RENTAL_ONLY	임대	0	136	0.22058823529411764	2001.0		
11170-3414		NO_SALE_5Y		0	1919	0.0005211047420531526	2022.0	752.0	R1
11200-1848	옥수삼성(임대,111동)	RENTAL_ONLY	임대	0	64	0.171875	1999.0		
11200-2696	서울숲한신더휴(임대)	RENTAL_ONLY	임대	0	27	0.4444444444444444	2003.0		
11200-2718	행당한진타운(임대)	RENTAL_ONLY	임대	0	117	0.15384615384615385	2000.0		
11200-2781		NO_SALE_5Y		0	277	0.23104693140794225	2006.0	400.0	R1
11200-2879	대림e-편한세상(임대)	RENTAL_ONLY	임대	0	109	0.21100917431192662	2000.0	2399.0	
11200-2884	옥수하이츠(임대)	RENTAL_ONLY	임대	0	36	0.19444444444444445	1998.0	536.0	
11200-2885	극동그린(임대,103동)	RENTAL_ONLY	임대	0	66	0.07575757575757576	1997.0	412.0	
11200-2915	행당두산위브(임대,201동)	RENTAL_ONLY	임대	0	18	0.3888888888888889	2009.0	351.0	
11200-2925	서울숲행당푸르지오(임대,110동)	RENTAL_ONLY	임대	0	34	0.4411764705882353	2011.0		
11200-2968	서울숲푸르지오2차(임대,212동)	RENTAL_ONLY	임대	0	26	0.23076923076923078	2012.0		
11200-2998	래미안옥수리버젠(임대)	RENTAL_ONLY	임대	0	68	0.38235294117647056	2013.0		
11200-3004		NO_SALE_5Y		0	139	0.050359712230215826	2013.0	91.0	R1
11200-3190	서울숲리버뷰자이(임대)	RENTAL_ONLY	임대	0	186	0.22580645161290322	2018.0	176.0	
11200-3198		NO_SALE_5Y		0	208	0.02403846153846154	2019.0	137.0	R1
11200-3207		NO_SALE_5Y		0	258	0.003875968992248062	2020.0	170.0	R1
11200-3358	금호벽산(임대)(미공시)	RENTAL_ONLY	임대	0	9	0.1111111111111111	2001.0		
11200-3479	극동미라주(임대)	RENTAL_ONLY	임대	0	2	1.0	2001.0		
11215-5190		NO_SALE_5Y		0	370	0.01891891891891892	2024.0		R2
11230-2000	쌍용아파트(임대)	RENTAL_ONLY	임대	0	66	0.10606060606060606	2000.0		
11230-2001	현대아파트(임대)	RENTAL_ONLY	임대	0	47	0.14893617021276595	2000.0		
11230-2030	대림e-편한세상(임대)	RENTAL_ONLY	임대	0	15	0.06666666666666667	2003.0		
11230-2171	두산위브(임대)	RENTAL_ONLY	임대	0	24	0.125	2009.0	338.0	
11230-2172	제기한신113동(임대)	RENTAL_ONLY	임대	0	30	0.2	2004.0		
11230-2173	전농SK(임대)	RENTAL_ONLY	임대	0	199	0.11055276381909548	2000.0		
11230-2174	전농동삼성래미안(임대)	RENTAL_ONLY	임대	0	44	0.13636363636363635	2000.0		
11230-2175	전농동아(임대)	RENTAL_ONLY	임대	0	19	0.05263157894736842	1997.0		
11230-2176	답십리동아(임대)	RENTAL_ONLY	임대	0	90	0.044444444444444446	2001.0		
11230-2177	답십리청솔우성(임대)	RENTAL_ONLY	임대	0	79	0.17721518987341772	2000.0	1110.0	
11230-2178	답십리대우(임대)	RENTAL_ONLY	임대	0	14	0.07142857142857142	2002.0		
11230-2179	답십리대림(임대)	RENTAL_ONLY	임대	0	4	0.25	2003.0		
11230-2180	답십리두산(임대)	RENTAL_ONLY	임대	0	99	0.08080808080808081	2000.0		
11230-2201	청량리한신(임대)	RENTAL_ONLY	임대	0	74	0.24324324324324326	1997.0		
11230-2202	홍릉동부(임대)	RENTAL_ONLY	임대	0	29	0.2413793103448276	2001.0		
11230-2233	휘경센트레빌(임대)	RENTAL_ONLY	임대	0	8	0.5	2011.0	246.0	
11230-2238	래미안허브리츠(임대)	RENTAL_ONLY	임대	0	53	0.24528301886792453	2011.0		
11230-2242	래미안엘파인(임대)	RENTAL_ONLY	임대	0	40	0.1	2011.0		
11230-2310	래미안아름숲(임대)	RENTAL_ONLY	임대	0	28	0.42857142857142855	2012.0		
11260-1989		NO_SALE_5Y		0	65	0.09230769230769231	1996.0	1432.0	R1
11260-1990	면목임대	RENTAL_ONLY	임대	0	3	0.3333333333333333	1991.0	905.0	
11260-2121	신내9진흥(임대)	RENTAL_ONLY	임대	0	50	0.18	1996.0	335.0	
11260-3220		NO_SALE_5Y		0	31	0.1935483870967742	2015.0	222.0	R1
11260-3953		NO_SALE_5Y		0	378	0.5396825396825397	2019.0	135.0	R1
11260-4073		NO_SALE_5Y		0	244	0.07377049180327869	2020.0	138.0	R1
11260-4107		NO_SALE_5Y		0	165	0.04242424242424243	2020.0	153.0	R1
11260-4265		NO_SALE_5Y		0	289	0.0034602076124567475	2021.0	331.0	R1
11260-4423		NO_SALE_5Y		0	158	0.15822784810126583	2022.0	128.0	R1
11260-4548		NO_SALE_5Y		0	883	1.0	2023.0	495.0	R2
11260-97		NO_SALE_5Y		0	48	0.7291666666666666	1998.0	1544.0	R1
11290-3405	정릉풍림아이원(임대)	RENTAL_ONLY	임대	0	203	0.18719211822660098	2005.0	332.0	
11290-3464	종암SK(임대,107동,104-5)	RENTAL_ONLY	임대	0	10	0.2	1999.0		
11290-3468	월곡두산위브(임대)	RENTAL_ONLY	임대	0	11	0.45454545454545453	2003.0		
11290-3490	장월에스에이치빌1단지(국민임대,SH소유	RENTAL_ONLY	국민임대	0	289	0.1695501730103806	2006.0	254.0	
11290-3564	돈암동삼성아파트(임대)108동,109동	RENTAL_ONLY	임대	0	137	0.1897810218978102	1999.0		
11290-3565	돈암동풍림106동(임대)	RENTAL_ONLY	임대	0	56	0.2857142857142857	1999.0		
11290-3639	한진임대아파트(301동)(609-1)	RENTAL_ONLY	임대	0	80	0.2	1998.0		
11290-3640	길음동부센트(임대119동,120동,1278-1)	RENTAL_ONLY	임대	0	75	0.13333333333333333	2003.0		
11290-3641	길음3단지(임대307동,308동,1280-3)	RENTAL_ONLY	임대	0	155	0.14193548387096774	2005.0		
11290-3642	길음4단지(임대426동,1281-1)	RENTAL_ONLY	임대	0	104	0.17307692307692307	2005.0		
11290-3643	길음에스에이치빌5단지(임대512동,1282-1)	RENTAL_ONLY	임대	0	95	0.1368421052631579	2008.0		
11290-3644	동아에코빌아파트(임대)	RENTAL_ONLY	임대	0	10	0.2	2003.0		
11290-3656	월곡3에스에이치빌(임대)	RENTAL_ONLY	임대	0	15	0.4666666666666667	2008.0		
11290-3693	월곡2에스에이치빌(임대)	RENTAL_ONLY	임대	0	4	0.75	2008.0		
11290-3707		NO_SALE_5Y		0	92	0.358695652173913	2008.0	285.0	R1
11290-3808	래미안종암2차(임대215동,133-1)	RENTAL_ONLY	임대	0	15	0.6666666666666666	2009.0		
11290-3838	길음7단지(임대707동,1285-5,두산위브)	RENTAL_ONLY	임대	0	41	0.07317073170731707	2010.0		
11290-3842	래미안종암3차(임대111동,112동,134-1)	RENTAL_ONLY	임대	0	20	0.15	2011.0		
11290-3851	길음8단지(임대825동,1284-9))	RENTAL_ONLY	임대	0	78	0.23076923076923078	2010.0		
11290-3861	길음9단지(임대951동~953동,1286-7)	RENTAL_ONLY	임대	0	104	0.1346153846153846	2010.0		
